Time	Open	High	Low	Close	Volume
2011-02-17 15:00:00	30.867	30.988	30.847	30.947	49
2011-02-17 16:00:00	30.948	31.328	30.917	31.247	84
2011-02-17 17:00:00	31.248	31.457	31.227	31.417	66
2011-02-17 18:00:00	31.407	31.588	31.407	31.518	67
2011-02-17 19:00:00	31.517	31.638	31.517	31.638	12
2011-02-18 18:00:00	32.438	32.458	32.327	32.328	7
2011-02-21 16:00:00	33.657	33.678	33.617	33.668	5
2011-02-22 08:00:00	33.068	33.068	32.757	32.858	66
2011-02-22 09:00:00	32.857	32.877	32.407	32.407	55
2011-02-22 10:00:00	32.707	32.938	32.577	32.867	43
2011-02-22 11:00:00	32.868	32.918	32.727	32.807	60
2011-02-22 12:00:00	32.818	33.278	32.807	33.248	61
2011-02-22 13:00:00	33.257	33.398	32.977	33.247	66
2011-02-22 14:00:00	33.248	33.428	33.057	33.247	53
2011-02-22 15:00:00	33.038	33.248	33.027	33.227	17
2011-02-22 16:00:00	33.228	33.298	33.118	33.168	29
2011-02-23 13:00:00	33.308	33.387	33.157	33.178	44
2011-02-23 14:00:00	33.177	33.388	32.978	33.327	81
2011-02-23 15:00:00	33.328	33.428	33.287	33.428	6
2011-02-25 08:00:00	32.907	33.028	32.837	32.868	44
2011-02-25 09:00:00	32.867	32.898	32.608	32.728	60
2011-02-25 10:00:00	32.748	32.988	32.697	32.868	61
2011-02-25 11:00:00	32.867	32.868	32.617	32.637	69
2011-02-25 12:00:00	32.638	32.767	32.527	32.737	62
2011-02-25 13:00:00	32.738	32.888	32.587	32.808	62
2011-02-25 14:00:00	32.797	32.958	32.557	32.678	64
2011-02-25 15:00:00	32.677	33.108	32.607	32.997	60
2011-02-25 16:00:00	32.998	33.038	32.707	32.928	62
2011-02-25 17:00:00	32.928	33.058	32.897	32.947	60
2011-02-25 18:00:00	32.948	33.088	32.847	33.037	62
2011-02-25 19:00:00	33.027	33.038	33.027	33.037	1
2011-02-28 15:00:00	33.817	33.878	33.777	33.817	5
2011-03-01 10:00:00	34.228	34.238	34.208	34.217	1
2011-03-01 11:00:00	34.218	34.398	34.177	34.347	64
2011-03-01 12:00:00	34.357	34.418	34.337	34.367	21
2011-03-01 14:00:00	34.427	34.428	34.347	34.378	3
2011-03-01 15:00:00	34.387	34.408	34.247	34.258	18
2011-03-03 12:00:00	34.334	34.464	34.283	34.454	16
2011-03-03 13:00:00	34.453	34.584	34.313	34.344	51
2011-03-03 17:00:00	34.393	34.393	34.064	34.073	26
2011-03-03 20:00:00	34.094	34.154	34.033	34.044	7
2011-03-04 14:00:00	34.914	35.174	34.873	35.074	31
2011-03-04 15:00:00	35.073	35.324	35.044	35.223	74
2011-03-04 16:00:00	35.224	35.284	35.114	35.263	52
2011-03-07 14:00:00	36.274	36.354	36.123	36.284	20
2011-03-07 15:00:00	36.273	36.624	36.264	36.343	75
2011-03-07 16:00:00	36.314	36.374	36.213	36.294	22
2011-03-08 08:00:00	35.823	35.905	35.816	35.862	14
2011-03-08 09:00:00	35.862	36.192	35.858	36.151	60
2011-03-08 10:00:00	36.154	36.485	36.146	36.371	60
2011-03-08 11:00:00	36.376	36.537	36.308	36.506	60
2011-03-08 12:00:00	36.507	36.522	36.073	36.265	60
2011-03-08 13:00:00	36.263	36.3	36.022	36.255	60
2011-03-08 14:00:00	36.256	36.273	35.657	35.765	60
2011-03-08 15:00:00	35.758	36.035	35.685	35.899	60
2011-03-08 16:00:00	35.893	35.965	35.695	35.721	60
2011-03-08 17:00:00	35.717	35.942	35.717	35.771	60
2011-03-08 18:00:00	35.771	35.809	35.599	35.768	60
2011-03-08 19:00:00	35.768	35.935	35.757	35.883	60
2011-03-08 20:00:00	35.883	36.13	35.883	36.014	60
2011-03-08 21:00:00	36.013	36.064	35.968	36.022	51
2011-03-08 23:00:00	36.034	36.118	35.963	36.03	59
2011-03-09 00:00:00	36.025	36.104	35.969	36.012	60
2011-03-09 01:00:00	36.012	36.133	36.01	36.106	58
2011-03-09 02:00:00	36.107	36.164	36.025	36.052	59
2011-03-09 03:00:00	36.054	36.074	35.838	35.894	60
2011-03-09 04:00:00	35.893	35.955	35.844	35.853	60
2011-03-09 05:00:00	35.854	35.904	35.794	35.904	60
2011-03-09 06:00:00	35.901	36.052	35.856	35.972	60
2011-03-09 07:00:00	35.968	35.996	35.863	35.941	60
2011-03-09 08:00:00	35.94	35.982	35.854	35.896	60
2011-03-09 09:00:00	35.889	36.178	35.875	36.127	148
2011-03-09 10:00:00	36.127	36.262	36.081	36.114	101
2011-03-09 11:00:00	36.123	36.272	36.123	36.266	59
2011-03-09 12:00:00	36.27	36.312	36.134	36.157	59
2011-03-09 13:00:00	36.158	36.38	36.145	36.323	60
2011-03-09 14:00:00	36.324	36.427	35.915	35.937	60
2011-03-09 15:00:00	35.935	36.244	35.914	36.142	70
2011-03-09 16:00:00	36.138	36.138	35.617	35.907	267
2011-03-09 17:00:00	35.897	36.049	35.816	35.953	71
2011-03-09 18:00:00	35.953	36.255	35.907	36.184	60
2011-03-09 19:00:00	36.186	36.193	36.044	36.044	60
2011-03-09 20:00:00	36.044	36.138	35.997	36.104	60
2011-03-09 21:00:00	36.103	36.127	36.056	36.104	58
2011-03-09 22:00:00	36.087	36.087	36.062	36.086	4
2011-03-09 23:00:00	36.086	36.144	36.003	36.003	60
2011-03-10 00:00:00	36.006	36.01	35.846	35.862	60
2011-03-10 01:00:00	35.865	35.946	35.865	35.918	57
2011-03-10 02:00:00	35.916	36.011	35.905	36.005	58
2011-03-10 03:00:00	36.003	36.064	35.955	36.046	59
2011-03-10 04:00:00	36.042	36.106	35.958	36.041	60
2011-03-10 05:00:00	36.039	36.124	36.036	36.098	60
2011-03-10 06:00:00	36.098	36.177	36.024	36.145	60
2011-03-10 07:00:00	36.142	36.144	35.824	35.84	60
2011-03-10 08:00:00	35.834	35.88	35.682	35.697	60
2011-03-10 09:00:00	35.694	35.816	35.643	35.724	60
2011-03-10 10:00:00	35.727	35.756	35.622	35.71	60
2011-03-10 11:00:00	35.708	35.724	35.159	35.184	61
2011-03-10 12:00:00	35.185	35.349	35.08	35.274	60
2011-03-10 13:00:00	35.27	35.457	35.086	35.328	60
2011-03-10 14:00:00	35.353	35.402	34.875	35.078	62
2011-03-10 15:00:00	35.08	35.154	34.661	34.911	185
2011-03-10 16:00:00	34.912	35.074	34.746	34.906	67
2011-03-10 17:00:00	34.908	34.947	34.764	34.898	60
2011-03-10 18:00:00	34.898	35.34	34.898	35.253	92
2011-03-10 19:00:00	35.253	35.373	35.177	35.333	60
2011-03-10 20:00:00	35.333	35.338	35.093	35.173	61
2011-03-10 21:00:00	35.174	35.316	35.166	35.248	63
2011-03-10 22:00:00	35.241	35.292	35.241	35.257	26
2011-03-10 23:00:00	34.922	35.34	34.922	35.328	83
2011-03-11 00:00:00	35.326	35.369	35.276	35.311	62
2011-03-11 01:00:00	35.308	35.381	35.265	35.358	60
2011-03-11 02:00:00	35.361	35.463	35.35	35.417	60
2011-03-11 03:00:00	35.411	35.413	35.308	35.34	60
2011-03-11 04:00:00	35.34	35.34	35.156	35.21	117
2011-03-11 05:00:00	35.21	35.218	35.041	35.167	98
2011-03-11 06:00:00	35.173	35.251	35.048	35.056	234
2011-03-11 07:00:00	35.062	35.356	35.051	35.208	63
2011-03-11 08:00:00	35.204	35.329	35.025	35.117	60
2011-03-11 09:00:00	35.12	35.174	34.54	34.614	60
2011-03-11 10:00:00	34.614	34.614	34.394	34.484	60
2011-03-11 11:00:00	34.488	34.527	34.066	34.12	79
2011-03-11 12:00:00	34.12	34.522	34.047	34.496	60
2011-03-11 13:00:00	34.495	34.691	34.339	34.654	60
2011-03-11 14:00:00	34.647	34.66	34.156	34.576	60
2011-03-11 15:00:00	34.579	34.98	34.532	34.896	60
2011-03-11 16:00:00	34.892	35.825	34.854	35.759	60
2011-03-11 17:00:00	35.765	35.987	35.626	35.874	60
2011-03-11 18:00:00	35.877	36.162	35.794	35.995	60
2011-03-11 19:00:00	35.995	36.087	35.861	35.915	60
2011-03-11 20:00:00	35.916	35.942	35.769	35.854	60
2011-03-11 21:00:00	35.853	35.938	35.833	35.903	59
2011-03-13 22:00:00	35.949	36.485	35.822	36.362	54
2011-03-13 23:00:00	36.358	36.406	36.092	36.288	60
2011-03-14 00:00:00	36.293	36.426	36.252	36.354	60
2011-03-14 01:00:00	36.356	36.401	35.981	36.065	60
2011-03-14 02:00:00	36.075	36.126	35.491	35.688	60
2011-03-14 03:00:00	35.684	35.858	35.672	35.792	59
2011-03-14 04:00:00	35.793	35.862	35.583	35.693	60
2011-03-14 05:00:00	35.695	35.882	35.684	35.868	60
2011-03-14 06:00:00	35.866	35.967	35.762	35.79	60
2011-03-14 07:00:00	35.787	36.04	35.759	36.029	60
2011-03-14 08:00:00	36.028	36.062	35.621	35.785	60
2011-03-14 09:00:00	35.78	35.924	35.712	35.763	60
2011-03-14 10:00:00	35.765	35.969	35.709	35.969	60
2011-03-14 11:00:00	35.983	36.185	35.889	36.178	60
2011-03-14 12:00:00	36.171	36.21	35.829	35.975	60
2011-03-14 13:00:00	35.972	36.257	35.839	36.134	60
2011-03-14 14:00:00	36.135	36.164	35.661	35.706	60
2011-03-14 15:00:00	35.711	36.107	35.673	36.041	60
2011-03-14 16:00:00	36.039	36.148	35.753	35.804	60
2011-03-14 17:00:00	35.816	35.943	35.797	35.899	60
2011-03-14 18:00:00	35.904	35.92	35.829	35.874	60
2011-03-14 19:00:00	35.873	35.912	35.824	35.836	59
2011-03-14 20:00:00	35.839	35.907	35.825	35.901	67
2011-03-14 21:00:00	35.901	35.912	35.896	35.912	3
2011-03-14 22:00:00	35.916	35.922	35.817	35.826	78
2011-03-14 23:00:00	35.826	35.877	35.791	35.826	104
2011-03-15 00:00:00	35.826	35.841	35.727	35.822	126
2011-03-15 01:00:00	35.821	35.837	35.693	35.721	112
2011-03-15 02:00:00	35.717	35.827	35.581	35.682	171
2011-03-15 03:00:00	35.687	35.746	35.25	35.381	95
2011-03-15 04:00:00	35.379	35.39	34.604	35.038	70
2011-03-15 05:00:00	35.041	35.164	34.991	35.129	60
2011-03-15 06:00:00	35.126	35.284	35.068	35.254	60
2011-03-15 07:00:00	35.253	35.254	35.167	35.211	60
2011-03-15 08:00:00	35.214	35.308	35.094	35.12	60
2011-03-15 09:00:00	35.117	35.141	34.637	34.684	60
2011-03-15 10:00:00	34.68	34.73	34.491	34.707	60
2011-03-15 11:00:00	34.7	34.932	34.177	34.287	61
2011-03-15 12:00:00	34.283	34.295	33.56	34.016	60
2011-03-15 13:00:00	34.018	34.218	33.822	34.042	60
2011-03-15 14:00:00	34.043	34.727	34.014	34.706	60
2011-03-15 15:00:00	34.705	34.805	34.222	34.359	60
2011-03-15 16:00:00	34.359	34.579	34.181	34.292	66
2011-03-15 17:00:00	34.291	34.403	34.059	34.362	60
2011-03-15 18:00:00	34.36	34.366	34.202	34.337	60
2011-03-15 19:00:00	34.335	34.604	34.277	34.416	60
2011-03-15 20:00:00	34.42	34.466	34.116	34.177	61
2011-03-15 21:00:00	34.177	34.187	34.171	34.182	5
2011-03-15 22:00:00	34.245	34.351	34.047	34.149	59
2011-03-15 23:00:00	34.147	34.303	34.08	34.228	60
2011-03-16 00:00:00	34.22	34.444	34.183	34.34	60
2011-03-16 01:00:00	34.343	34.455	34.316	34.38	60
2011-03-16 02:00:00	34.379	34.404	34.2	34.225	60
2011-03-16 03:00:00	34.224	34.256	33.905	34.043	60
2011-03-16 04:00:00	34.045	34.31	34.026	34.236	60
2011-03-16 05:00:00	34.241	34.279	34.073	34.213	60
2011-03-16 06:00:00	34.213	34.458	34.213	34.39	60
2011-03-16 07:00:00	34.412	34.486	34.328	34.328	60
2011-03-16 08:00:00	34.325	34.402	34.254	34.402	60
2011-03-16 09:00:00	34.399	34.431	34.303	34.314	59
2011-03-16 10:00:00	34.313	34.391	34.123	34.375	60
2011-03-16 11:00:00	34.378	34.676	34.333	34.59	60
2011-03-16 12:00:00	34.591	34.774	34.546	34.615	60
2011-03-16 13:00:00	34.617	34.906	34.467	34.816	60
2011-03-16 14:00:00	34.817	35.058	34.814	34.827	60
2011-03-16 15:00:00	34.825	34.914	34.403	34.654	60
2011-03-16 16:00:00	34.663	34.679	34.398	34.629	60
2011-03-16 17:00:00	34.634	34.664	34.224	34.315	60
2011-03-16 18:00:00	34.312	34.335	33.834	34.257	60
2011-03-16 19:00:00	34.258	34.294	34.053	34.145	60
2011-03-16 20:00:00	34.146	34.257	34.133	34.187	61
2011-03-16 21:00:00	34.182	34.192	34.162	34.176	6
2011-03-16 22:00:00	34.13	34.171	33.731	33.805	60
2011-03-16 23:00:00	33.8	33.954	33.711	33.754	60
2011-03-17 00:00:00	33.754	34.014	33.733	33.958	61
2011-03-17 01:00:00	33.953	34.034	33.641	33.723	60
2011-03-17 02:00:00	33.727	33.9	33.709	33.826	73
2011-03-17 03:00:00	33.826	33.938	33.734	33.931	126
2011-03-17 04:00:00	33.928	34.104	33.861	34.074	115
2011-03-17 05:00:00	34.075	34.114	34.009	34.056	60
2011-03-17 06:00:00	34.055	34.126	33.955	33.98	60
2011-03-17 07:00:00	33.98	34.274	33.964	34.174	60
2011-03-17 08:00:00	34.172	34.419	34.069	34.404	60
2011-03-17 09:00:00	34.406	34.507	34.309	34.491	60
2011-03-17 10:00:00	34.489	34.589	34.356	34.388	60
2011-03-17 11:00:00	34.39	34.498	34.306	34.448	60
2011-03-17 12:00:00	34.45	34.564	34.233	34.433	60
2011-03-17 13:00:00	34.433	34.503	34.128	34.394	61
2011-03-17 14:00:00	34.392	34.644	34.359	34.548	61
2011-03-17 15:00:00	34.554	34.614	34.164	34.263	60
2011-03-17 16:00:00	34.266	34.39	34.047	34.066	60
2011-03-17 17:00:00	34.063	34.288	34.063	34.267	103
2011-03-17 18:00:00	34.267	34.446	34.245	34.375	85
2011-03-17 19:00:00	34.375	34.384	34.274	34.299	60
2011-03-17 20:00:00	34.297	34.359	34.206	34.211	63
2011-03-17 21:00:00	34.212	34.222	34.196	34.202	9
2011-03-17 22:00:00	34.031	34.562	34.031	34.493	62
2011-03-17 23:00:00	34.515	34.518	34.364	34.433	59
2011-03-18 00:00:00	34.437	34.624	34.437	34.57	60
2011-03-18 01:00:00	34.571	34.774	34.514	34.729	59
2011-03-18 02:00:00	34.728	34.784	34.644	34.688	57
2011-03-18 03:00:00	34.684	34.878	34.683	34.844	60
2011-03-18 04:00:00	34.847	34.884	34.717	34.787	60
2011-03-18 05:00:00	34.79	34.854	34.713	34.763	60
2011-03-18 06:00:00	34.769	34.813	34.692	34.754	60
2011-03-18 07:00:00	34.753	34.904	34.753	34.829	59
2011-03-18 08:00:00	34.831	34.952	34.753	34.793	60
2011-03-18 09:00:00	34.814	34.853	34.686	34.843	59
2011-03-18 10:00:00	34.841	34.946	34.738	34.854	60
2011-03-18 11:00:00	34.844	35.038	34.751	35.001	60
2011-03-18 12:00:00	35	35.396	34.944	35.043	60
2011-03-18 13:00:00	35.044	35.123	34.824	35.039	60
2011-03-18 14:00:00	35.041	35.256	34.985	35.139	60
2011-03-18 15:00:00	35.142	35.185	34.934	35.05	60
2011-03-18 16:00:00	35.049	35.146	35.029	35.082	60
2011-03-18 17:00:00	35.079	35.106	34.932	35.105	60
2011-03-18 18:00:00	35.105	35.114	35.008	35.024	59
2011-03-18 19:00:00	35.027	35.124	35.009	35.105	60
2011-03-18 20:00:00	35.103	35.268	35.063	35.212	61
2011-03-20 22:00:00	35.357	35.762	35.345	35.645	61
2011-03-20 23:00:00	35.654	35.734	35.563	35.644	60
2011-03-21 00:00:00	35.643	35.828	35.593	35.803	60
2011-03-21 01:00:00	35.803	35.875	35.745	35.855	60
2011-03-21 02:00:00	35.863	35.954	35.763	35.763	60
