Time	Open	High	Low	Close	Volume
2017-11-06 00:00:00	1.5	1.8	0.5	1.6	120635
2017-11-07 00:00:00	1.6	1.8	1.5	1.8	134153
2017-11-08 00:00:00	1.8	2	1.7	2	347312
2017-11-09 00:00:00	2	2.2	1.9	2	287062
2017-11-10 00:00:00	2	2	1.6	1.7	484684
2017-11-11 00:00:00	1.8	1.9	1.6	1.7	258859
2017-11-12 00:00:00	1.7	1.7	1.3	1.5	457186
2017-11-13 00:00:00	1.5	1.7	1.5	1.7	166794
2017-11-14 00:00:00	1.7	1.7	1.5	1.6	177268
2017-11-15 00:00:00	1.6	1.7	1.5	1.6	297660
2017-11-16 00:00:00	1.6	1.7	1.5	1.6	198053
2017-11-17 00:00:00	1.6	1.6	1.5	1.5	419472
2017-11-18 00:00:00	1.5	1.7	1.5	1.7	172123
2017-11-19 00:00:00	1.7	1.7	1.6	1.6	179725
2017-11-20 00:00:00	1.6	1.7	1.6	1.6	159762
2017-11-21 00:00:00	1.6	1.6	1.5	1.6	413473
2017-11-22 00:00:00	1.6	1.6	1.6	1.6	196479
2017-11-23 00:00:00	1.6	1.6	1.5	1.6	184485
2017-11-24 00:00:00	1.6	1.8	1.5	1.7	644240
2017-11-25 00:00:00	1.7	2	1.7	1.9	475470
2017-11-26 00:00:00	1.9	1.9	1.8	1.8	193687
2017-11-27 00:00:00	1.8	2	1.7	2	480721
2017-11-28 00:00:00	1.9	2	1.8	1.9	359542
2017-11-29 00:00:00	1.9	2	1.6	1.8	935760
2017-11-30 00:00:00	1.8	2	1.7	2	748140
2017-12-01 00:00:00	2	2.1	1.9	2.1	321482
2017-12-02 00:00:00	2.1	2.1	2	2.1	241174
2017-12-03 00:00:00	2.1	2.4	2	2.3	346026
2017-12-04 00:00:00	2.3	2.6	2.3	2.6	384980
2017-12-05 00:00:00	2.5	2.8	2.5	2.6	428683
2017-12-06 00:00:00	2.6	2.8	2.3	2.5	379359
2017-12-07 00:00:00	2.5	2.8	2.4	2.7	533535
2017-12-08 00:00:00	2.6	2.8	2.2	2.8	649826
2017-12-09 00:00:00	2.8	2.8	2.2	2.7	477851
2017-12-10 00:00:00	2.7	2.7	2.1	2.5	562295
2017-12-11 00:00:00	2.5	2.8	2.5	2.7	381629
2017-12-12 00:00:00	2.7	2.7	2.5	2.6	541890
2017-12-13 00:00:00	2.6	2.7	2.3	2.7	702171
2017-12-14 00:00:00	2.7	3.2	2.7	3.2	998512
2017-12-15 00:00:00	3.2	4.4	3	4.1	919598
2017-12-16 00:00:00	4.2	4.7	3.8	4.6	775627
2017-12-17 00:00:00	4.6	6.7	4.6	6	1555686
2017-12-18 00:00:00	6	6.1	4.8	6	1430193
2017-12-19 00:00:00	6	6.5	5.3	5.7	1784898
2017-12-20 00:00:00	5.7	5.7	4.7	5.2	1397328
2017-12-21 00:00:00	5.2	5.7	4.4	5.2	996568
2017-12-22 00:00:00	5.2	5.2	3.3	4.3	1599495
2017-12-23 00:00:00	4.3	5	4.2	4.4	964528
2017-12-24 00:00:00	4.4	5.2	3.8	5.2	1047132
2017-12-25 00:00:00	5.2	6.9	5	6.5	1480905
2017-12-26 00:00:00	6.5	10.8	6.4	9.3	3081682
2017-12-27 00:00:00	9.3	11.3	8.3	10.1	2851096
2017-12-28 00:00:00	10.1	10.3	7.8	9.3	2593265
2017-12-29 00:00:00	9.3	9.8	8.4	8.7	1401592
2017-12-30 00:00:00	8.7	8.7	6.9	7.6	1648326
2017-12-31 00:00:00	7.6	8.8	7.5	8.5	1289239
2018-01-01 00:00:00	8.5	8.7	7.8	8.5	654362
2018-01-02 00:00:00	8.5	9.1	8.1	8.7	1262660
2018-01-03 00:00:00	8.7	9.5	8.3	9.3	947412
2018-01-04 00:00:00	9.3	9.7	8.6	9.1	964520
2018-01-05 00:00:00	9.1	16.8	9	14.9	2765002
2018-01-06 00:00:00	14.9	23.6	14.7	22.6	3130510
2018-01-07 00:00:00	22.6	22.7	18.1	18.6	1543788
2018-01-08 00:00:00	18.5	19.3	14	18	2112090
2018-01-09 00:00:00	18	20.6	16.4	17.4	1309304
2018-01-10 00:00:00	17.4	17.6	14.6	17.5	1172670
2018-01-11 00:00:00	17.5	23.1	13.7	21.2	3542388
2018-01-12 00:00:00	21.1	25.2	19.1	22.2	2902362
2018-01-13 00:00:00	22.2	23.5	21	22	1080479
2018-01-14 00:00:00	22	22.1	18.2	20.5	1384107
2018-01-15 00:00:00	20.5	23.2	19	19.3	2288582
2018-01-16 00:00:00	19.4	19.4	9.9	13.2	9933455
2018-01-17 00:00:00	13	15.7	9.4	14.2	9971718
2018-01-18 00:00:00	14.1	15.9	13	14.1	6699274
2018-01-19 00:00:00	14	15.5	13.5	14.9	3004093
2018-01-20 00:00:00	14.9	16.7	14.8	16.2	2617163
2018-01-21 00:00:00	16.2	16.3	13	14.1	3318389
2018-01-22 00:00:00	14.1	14.5	11.6	12.9	2873213
2018-01-23 00:00:00	12.9	13.9	11.6	13.1	2335856
2018-01-24 00:00:00	13.1	14.3	12.6	13.8	1947209
2018-01-25 00:00:00	13.8	14.2	13	13.2	1427667
2018-01-26 00:00:00	13.2	13.6	12	13.1	1788866
2018-01-27 00:00:00	13.2	13.6	12.9	13.4	992900
2018-01-28 00:00:00	13.4	14	13.3	13.8	1377427
2018-01-29 00:00:00	13.8	13.9	12.7	12.8	857978
2018-01-30 00:00:00	12.8	13	11.1	11.5	1322564
2018-01-31 00:00:00	11.5	11.5	10.6	11.3	947140
2018-02-01 00:00:00	11.3	11.5	8.6	9.5	2169044
2018-02-02 00:00:00	9.5	10.7	7.3	9.7	4023380
2018-02-03 00:00:00	9.7	10.4	8.6	9.7	2348944
2018-02-04 00:00:00	9.7	9.8	8	8.4	2015701
2018-02-05 00:00:00	8.4	8.6	6.1	6.7	3127819
2018-02-06 00:00:00	6.7	8.6	5.5	8.3	6158921
2018-02-07 00:00:00	8.3	9.2	7.3	8.1	4409314
2018-02-08 00:00:00	8.1	8.4	8	8.3	91987
2018-02-09 00:00:00	8.3	10	8.3	9.9	2477870
2018-02-10 00:00:00	9.9	10.4	8.8	9	3321573
2018-02-11 00:00:00	9	9.5	8	8.7	2978139
2018-02-12 00:00:00	8.7	9.4	8.7	9.3	1912486
