Time	Open	High	Low	Close	Volume
2018-06-12 00:00:00	16.2	16.8	15.04	15.23	71267
2018-06-12 04:00:00	15.23	16.3	15.2	15.66	159100
2018-06-12 08:00:00	15.69	15.79	15.28	15.4	90455
2018-06-12 12:00:00	15.4	15.47	14.57	15.47	138569
2018-06-12 16:00:00	15.47	15.5	13.95	14.54	147068
2018-06-12 20:00:00	14.54	14.88	14.18	14.63	138531
2018-06-13 00:00:00	14.7	14.97	14.42	14.49	108102
2018-06-13 04:00:00	14.48	14.69	13.79	13.8	114319
2018-06-13 08:00:00	13.8	13.91	13.02	13.45	150995
2018-06-13 12:00:00	13.46	13.75	13.18	13.21	127485
2018-06-13 16:00:00	13.21	14.17	12.81	13.73	198568
2018-06-13 20:00:00	13.73	14.06	13.57	13.85	81685
2018-06-14 00:00:00	13.8	14.01	13.21	13.66	125326
2018-06-14 04:00:00	13.66	13.9	13.42	13.74	90827
2018-06-14 08:00:00	13.76	14.03	13.57	13.72	92634
2018-06-14 12:00:00	13.69	13.72	13.15	13.29	98881
2018-06-14 16:00:00	13.29	14.15	13.25	14.12	159158
2018-06-14 20:00:00	14.12	14.34	13.84	14.06	115469
2018-06-15 00:00:00	14.07	14.07	13.68	13.91	67425
2018-06-15 04:00:00	13.9	13.95	13.68	13.92	66654
2018-06-15 08:00:00	13.89	14.07	13.58	13.87	98351
2018-06-15 12:00:00	13.87	13.87	13.58	13.83	71264
2018-06-15 16:00:00	13.83	14.05	13.77	13.95	114057
2018-06-15 20:00:00	13.91	13.95	13.56	13.82	68275
2018-06-16 00:00:00	13.82	14.13	13.76	13.96	110021
2018-06-16 04:00:00	13.93	14.88	13.91	14.65	131642
2018-06-16 08:00:00	14.62	14.66	14.3	14.41	126113
2018-06-16 12:00:00	14.41	14.45	14.06	14.18	111221
2018-06-16 16:00:00	14.18	14.65	14	14.42	110081
2018-06-16 20:00:00	14.42	14.65	14.4	14.44	74731
2018-06-17 00:00:00	14.43	14.64	14.35	14.56	72474
2018-06-17 04:00:00	14.56	14.63	14.33	14.39	64490
2018-06-17 08:00:00	14.4	14.64	14.34	14.4	93285
2018-06-17 12:00:00	14.41	14.41	14.07	14.39	154713
2018-06-17 16:00:00	14.39	14.41	14.21	14.26	74667
2018-06-17 20:00:00	14.27	14.35	14.1	14.24	76300
2018-06-18 00:00:00	14.24	14.35	14.1	14.21	77752
2018-06-18 04:00:00	14.21	14.27	13.97	14.07	91241
2018-06-18 08:00:00	14.07	14.25	14.01	14.1	55667
2018-06-18 12:00:00	14.1	14.36	14.08	14.27	110305
2018-06-18 16:00:00	14.27	15.62	14.21	15.02	165771
2018-06-18 20:00:00	15.03	15.35	14.96	15.09	114737
2018-06-19 00:00:00	15.11	15.3	15	15.13	29612
2018-06-19 04:00:00	15.1	15.34	15.1	15.34	84385
2018-06-19 08:00:00	15.32	15.9	15.27	15.68	154232
2018-06-19 12:00:00	15.66	15.94	15.3	15.32	135766
2018-06-19 16:00:00	15.32	15.51	15	15.51	86529
2018-06-19 20:00:00	15.5	15.64	15.23	15.6	96007
2018-06-20 00:00:00	15.6	15.6	14.72	15	135977
2018-06-20 04:00:00	14.98	15.23	14.82	15.2	56614
2018-06-20 08:00:00	15.2	15.42	15.12	15.39	77981
2018-06-20 12:00:00	15.39	16.36	15.03	16.27	181050
