Time	Open	High	Low	Close	Volume
2017-08-17 00:00:00	301.13	312.18	298	302	7049
2017-08-18 00:00:00	302	311.79	283.94	293.96	9562
2017-08-19 00:00:00	293.31	299.9	278	290.91	2172
2017-08-20 00:00:00	289.41	300.53	282.85	299.1	2535
2017-08-21 00:00:00	299.1	346.52	294.6	323.29	5244
2017-08-22 00:00:00	321.04	330.41	144.21	309.8	7977
2017-08-23 00:00:00	312.25	324.99	309.41	315.74	8693
2017-08-24 00:00:00	315.74	328.04	314.01	323.42	6775
2017-08-25 00:00:00	323.42	338.28	323.42	327.24	7153
2017-08-26 00:00:00	327.24	335.44	323.41	330.79	4900
2017-08-27 00:00:00	332.18	348.13	330.73	348.13	4662
2017-08-28 00:00:00	348.11	351	331.95	346	4306
2017-08-29 00:00:00	347	377.6	346	374.7	3056
2017-08-30 00:00:00	374.7	393.71	362.05	385.93	4470
2017-08-31 00:00:00	384.64	389.36	377.78	384.79	4459
2017-09-01 00:00:00	386.44	394.39	383.18	388.46	4220
2017-09-02 00:00:00	388.58	394.32	320.08	343.14	8262
2017-09-03 00:00:00	343.56	367.28	320.08	341.77	5274
2017-09-04 00:00:00	339.29	344.55	267.94	283.77	6758
2017-09-05 00:00:00	286.81	321.52	235.55	312.09	8368
2017-09-06 00:00:00	313.29	336.34	312.09	335	5505
2017-09-07 00:00:00	335.01	342.5	320.17	334.49	3125
2017-09-08 00:00:00	334.49	335.1	272	302.99	4940
2017-09-09 00:00:00	300.01	307	281.66	296.74	2763
2017-09-10 00:00:00	296.72	302.78	261.03	293.5	4180
2017-09-11 00:00:00	293.51	304.98	285.21	297.3	4855
2017-09-12 00:00:00	297.78	316.46	286.01	293.96	5198
2017-09-13 00:00:00	293.93	294.5	257.05	276.91	6478
2017-09-14 00:00:00	275.76	283.77	215	215.21	12628
2017-09-15 00:00:00	217	270.93	192	253	14248
2017-09-16 00:00:00	255.99	271.81	235.51	249.31	10385
2017-09-17 00:00:00	249.32	264.39	239.02	257.55	4635
2017-09-18 00:00:00	257.53	306.22	257.11	294.57	4154
2017-09-19 00:00:00	296	300	277.41	284	1896
2017-09-20 00:00:00	284.01	294	275.91	282	1085
2017-09-21 00:00:00	285.1	287	252.1	257	1937
2017-09-22 00:00:00	258	272.97	253.01	264	1487
2017-09-23 00:00:00	259.99	286.23	255.11	285.93	2848
2017-09-24 00:00:00	286.5	294.61	275	282	5598
2017-09-25 00:00:00	282	299	281.34	294.42	5892
2017-09-26 00:00:00	294.42	296.81	286.24	287.9	4593
2017-09-27 00:00:00	289.91	313	286.13	309.74	5543
2017-09-28 00:00:00	309.81	311.81	296.89	302.44	6620
2017-09-29 00:00:00	302.44	303	274	292.22	11114
2017-09-30 00:00:00	292.62	307.49	292.22	304.36	4045
2017-10-01 00:00:00	305.13	306	294	303.95	5085
2017-10-02 00:00:00	303.94	305	295	296.5	3736
2017-10-03 00:00:00	298.15	301.99	283.18	292.48	5573
2017-10-04 00:00:00	292.47	297.97	288	291.99	4044
2017-10-05 00:00:00	290	297.44	285.53	294.81	3438
2017-10-06 00:00:00	294.78	310.8	293.78	310.8	3568
2017-10-07 00:00:00	309.9	318.5	303.6	311.01	2189
2017-10-08 00:00:00	311.08	317.07	309	311.07	2984
2017-10-09 00:00:00	311.13	312.13	286.65	297.19	4908
2017-10-10 00:00:00	297.35	308.56	293	298.64	6771
2017-10-11 00:00:00	300.88	305.5	298.02	304.01	3751
2017-10-12 00:00:00	304.01	310	302.71	303.99	7851
2017-10-13 00:00:00	303.52	353.96	297	337.96	17949
2017-10-14 00:00:00	337.96	349.8	335	342	7755
2017-10-15 00:00:00	342	348	316.17	337.96	10037
2017-10-16 00:00:00	337.5	354	332.78	335.19	8687
2017-10-17 00:00:00	335.18	336.58	312.65	315.19	8171
2017-10-18 00:00:00	315.19	318	284.68	309.7	12931
2017-10-19 00:00:00	311.52	315	300	308.66	8702
2017-10-20 00:00:00	308.66	311.18	302	304.51	8768
2017-10-21 00:00:00	304.51	305.34	290	298.94	8615
2017-10-22 00:00:00	298.99	306.99	290	293.79	7197
2017-10-23 00:00:00	293.78	294.6	272.2	281.09	9684
2017-10-24 00:00:00	282.27	310	275.5	297.38	14091
2017-10-25 00:00:00	295.43	300	281	294.49	9729
2017-10-26 00:00:00	294.1	299.76	291.03	294.71	7838
2017-10-27 00:00:00	294.72	298.1	292.03	296.33	6294
2017-10-28 00:00:00	296.14	297	290.1	291.87	5872
2017-10-29 00:00:00	291.86	309.4	291.86	305	9041
2017-10-30 00:00:00	305	316	302.1	307.25	8971
2017-10-31 00:00:00	305.95	309.99	304.01	304.9	7666
2017-11-01 00:00:00	304.89	305.9	286.34	287.01	9864
2017-11-02 00:00:00	287.3	293	274.73	283.12	13448
2017-11-03 00:00:00	283.12	307	282	304.08	8221
2017-11-04 00:00:00	304.09	304.99	292.11	298.04	7854
2017-11-05 00:00:00	298.1	302.14	293.13	295.53	6659
2017-11-06 00:00:00	295.19	305.58	290.11	297.97	7542
2017-11-07 00:00:00	297.25	303.52	287	291.78	9443
2017-11-08 00:00:00	291.31	320	290.02	303.02	15982
2017-11-09 00:00:00	303.6	329	299.5	317.87	11177
2017-11-10 00:00:00	318.5	322.65	285.82	293.5	15621
2017-11-11 00:00:00	293.52	318	291.91	310.02	10874
2017-11-12 00:00:00	310.87	316.99	281.01	305.24	21149
2017-11-13 00:00:00	304	318.88	303.7	312.99	15576
2017-11-14 00:00:00	313	337.54	312.94	335.61	17731
2017-11-15 00:00:00	335.6	339	324	331.33	15620
2017-11-16 00:00:00	330.98	334.75	321.41	331.49	14169
2017-11-17 00:00:00	331.49	334.6	323.84	331.23	18066
2017-11-18 00:00:00	331.2	349.9	326.01	346.66	14387
2017-11-19 00:00:00	346.66	373.56	343.07	354.15	19419
2017-11-20 00:00:00	355.15	372.5	353.9	367.42	18301
2017-11-21 00:00:00	367.42	375.5	350.02	362.12	26259
2017-11-22 00:00:00	362.12	384.84	359	380.65	18145
