Time	Open	High	Low	Close	Volume
2019-01-16 00:00:00	0.54	0.54	0.47	0.49	1343674
2019-01-17 00:00:00	0.49	0.5	0.46	0.48	1411753
2019-01-18 00:00:00	0.48	0.51	0.46	0.49	984441
2019-01-19 00:00:00	0.49	0.5	0.47	0.48	735469
2019-01-20 00:00:00	0.48	0.49	0.46	0.48	677522
2019-01-21 00:00:00	0.48	0.52	0.47	0.5	897816
2019-01-22 00:00:00	0.5	0.57	0.5	0.53	1784978
2019-01-23 00:00:00	0.53	0.55	0.49	0.5	1827091
2019-01-24 00:00:00	0.5	0.51	0.45	0.5	1529244
2019-01-25 00:00:00	0.5	0.52	0.47	0.47	1112891
2019-01-26 00:00:00	0.47	0.49	0.46	0.47	865678
2019-01-27 00:00:00	0.47	0.47	0.42	0.43	2278942
2019-01-28 00:00:00	0.43	0.43	0.35	0.41	4006236
2019-01-29 00:00:00	0.41	0.46	0.41	0.45	5190850
2019-01-30 00:00:00	0.45	0.45	0.41	0.42	2092394
2019-01-31 00:00:00	0.43	0.44	0.38	0.38	2029056
2019-02-01 00:00:00	0.39	0.43	0.38	0.41	1899253
2019-02-02 00:00:00	0.42	0.43	0.4	0.41	821059
2019-02-03 00:00:00	0.42	0.42	0.39	0.4	1065195
2019-02-04 00:00:00	0.4	0.41	0.39	0.39	1449408
2019-02-05 00:00:00	0.39	0.43	0.39	0.42	1299130
2019-02-06 00:00:00	0.42	0.42	0.39	0.4	1368572
2019-02-07 00:00:00	0.4	0.41	0.39	0.4	498863
2019-02-08 00:00:00	0.4	0.45	0.4	0.44	2015994
2019-02-09 00:00:00	0.44	0.48	0.43	0.46	1384846
2019-02-10 00:00:00	0.46	0.48	0.43	0.45	2000875
2019-02-11 00:00:00	0.45	0.45	0.42	0.43	1580221
2019-02-12 00:00:00	0.43	0.44	0.42	0.43	941328
2019-02-13 00:00:00	0.43	0.45	0.42	0.44	935403
2019-02-14 00:00:00	0.44	0.44	0.42	0.43	942078
2019-02-15 00:00:00	0.42	0.45	0.42	0.43	612276
2019-02-16 00:00:00	0.44	0.45	0.43	0.44	465516
2019-02-17 00:00:00	0.44	0.48	0.43	0.46	1616533
2019-02-18 00:00:00	0.46	0.48	0.45	0.47	1430280
2019-02-19 00:00:00	0.47	0.48	0.45	0.46	1548027
2019-02-20 00:00:00	0.45	0.47	0.44	0.46	1358809
2019-02-21 00:00:00	0.46	0.48	0.44	0.44	1443240
2019-02-22 00:00:00	0.44	0.47	0.44	0.45	700550
2019-02-23 00:00:00	0.45	0.46	0.44	0.46	925554
2019-02-24 00:00:00	0.46	0.46	0.4	0.41	2154220
2019-02-25 00:00:00	0.4	0.47	0.4	0.47	1785379
2019-02-26 00:00:00	0.47	0.47	0.43	0.43	1775551
2019-02-27 00:00:00	0.43	0.44	0.41	0.43	854239
2019-02-28 00:00:00	0.43	0.45	0.42	0.42	1059993
2019-03-01 00:00:00	0.42	0.44	0.42	0.43	560713
2019-03-02 00:00:00	0.43	0.44	0.42	0.42	331595
2019-03-03 00:00:00	0.42	0.43	0.42	0.42	225453
2019-03-04 00:00:00	0.42	0.43	0.39	0.4	946405
2019-03-05 00:00:00	0.4	0.43	0.4	0.43	1686203
2019-03-06 00:00:00	0.43	0.44	0.42	0.43	716352
2019-03-07 00:00:00	0.43	0.48	0.43	0.45	1498788
2019-03-08 00:00:00	0.45	0.51	0.45	0.46	3248304
2019-03-09 00:00:00	0.46	0.48	0.45	0.47	1381712
2019-03-10 00:00:00	0.47	0.55	0.47	0.5	2888017
2019-03-11 00:00:00	0.5	0.52	0.44	0.46	2633077
2019-03-12 00:00:00	0.46	0.51	0.45	0.49	2105201
2019-03-13 00:00:00	0.49	0.49	0.47	0.48	1263378
2019-03-14 00:00:00	0.48	0.5	0.47	0.49	1720817
2019-03-15 00:00:00	0.49	0.5	0.48	0.49	577917
2019-03-16 00:00:00	0.49	0.5	0.47	0.48	1768540
2019-03-17 00:00:00	0.48	0.49	0.47	0.48	1352152
2019-03-18 00:00:00	0.48	0.48	0.47	0.48	891849
2019-03-19 00:00:00	0.48	0.48	0.46	0.48	530758
2019-03-20 00:00:00	0.48	0.49	0.47	0.48	696169
2019-03-21 00:00:00	0.48	0.48	0.43	0.45	1044013
2019-03-22 00:00:00	0.46	0.47	0.45	0.46	863601
2019-03-23 00:00:00	0.46	0.46	0.45	0.46	406772
2019-03-24 00:00:00	0.46	0.46	0.45	0.45	634196
2019-03-25 00:00:00	0.45	0.49	0.44	0.47	2441540
2019-03-26 00:00:00	0.47	0.49	0.45	0.46	1129745
2019-03-27 00:00:00	0.46	0.5	0.46	0.49	1352759
2019-03-28 00:00:00	0.5	0.52	0.48	0.5	1443902
2019-03-29 00:00:00	0.5	0.5	0.49	0.5	877825
2019-03-30 00:00:00	0.5	0.5	0.49	0.49	675028
2019-03-31 00:00:00	0.49	0.54	0.49	0.51	2047038
2019-04-01 00:00:00	0.51	0.56	0.5	0.55	2288646
2019-04-02 00:00:00	0.55	0.6	0.53	0.58	4081969
2019-04-03 00:00:00	0.58	0.61	0.52	0.56	4435515
2019-04-04 00:00:00	0.56	0.58	0.52	0.54	2088060
2019-04-05 00:00:00	0.54	0.58	0.54	0.57	1039373
2019-04-06 00:00:00	0.57	0.59	0.56	0.57	1176172
2019-04-07 00:00:00	0.57	0.59	0.57	0.58	956669
2019-04-08 00:00:00	0.58	0.59	0.54	0.56	1559226
2019-04-09 00:00:00	0.56	0.56	0.52	0.53	1284474
2019-04-10 00:00:00	0.53	0.55	0.51	0.52	1259743
2019-04-11 00:00:00	0.52	0.52	0.45	0.48	1891777
