Time	Open	High	Low	Close	Volume
2017-12-13 00:00:00	272	330	260	290	9586
2017-12-14 00:00:00	290	302.7	252	272.4	9657
2017-12-15 00:00:00	272.4	314.2	240	294	16607
2017-12-16 00:00:00	294	305	285	294	9128
2017-12-17 00:00:00	293	328.8	290	311.4	14706
2017-12-18 00:00:00	311.2	361	277	352	17233
2017-12-19 00:00:00	352	367	303	338.5	23217
2017-12-20 00:00:00	336.1	357	260	302.7	31612
2017-12-21 00:00:00	303.8	325.2	267	302	26237
2017-12-22 00:00:00	303	315	177.6	251	81256
2017-12-23 00:00:00	251	301.5	214.9	253.4	38733
2017-12-24 00:00:00	253.4	277	220	262.9	33458
2017-12-25 00:00:00	262.9	277.5	251.4	261.2	24437
2017-12-26 00:00:00	261.2	282.8	258	278	22014
2017-12-27 00:00:00	278	284.3	245.3	262.6	25066
2017-12-28 00:00:00	262.6	266.7	222	244.7	34853
2017-12-29 00:00:00	244.7	261	234	238.3	35008
2017-12-30 00:00:00	238.3	244	193.2	206	52959
2017-12-31 00:00:00	206.1	234.4	203	223.7	29763
2018-01-01 00:00:00	223.7	231.2	212.7	222.6	20244
2018-01-02 00:00:00	222.6	256.5	222.6	247.3	63318
2018-01-03 00:00:00	247.3	253.4	233.6	238.8	71395
2018-01-04 00:00:00	238.9	240	219.4	233	78205
2018-01-05 00:00:00	233	251	230	240.5	65034
2018-01-06 00:00:00	241	315	238.7	275.3	100836
2018-01-07 00:00:00	276.2	287	262	269	43835
2018-01-08 00:00:00	269	271.8	212.7	252.7	76279
2018-01-09 00:00:00	252.5	257.6	228.2	244.5	53944
2018-01-10 00:00:00	244.6	249	225.1	247.6	70956
2018-01-11 00:00:00	247.6	252.3	195	223.8	83870
2018-01-12 00:00:00	223.8	240.5	213	233.1	45704
2018-01-13 00:00:00	233.1	264	232.5	258	42835
2018-01-14 00:00:00	258	271.6	222	234.1	62230
2018-01-15 00:00:00	234.3	242.3	227.6	229.5	35780
2018-01-16 00:00:00	229.5	242	135.7	179.3	150066
2018-01-17 00:00:00	179.3	198.9	136.2	182.4	155662
2018-01-18 00:00:00	183.5	202.2	170.5	186.1	98397
2018-01-19 00:00:00	186.2	199	176	191.4	59392
2018-01-20 00:00:00	191.4	215	190.7	210.4	59186
2018-01-21 00:00:00	210.1	210.7	180	190.2	64841
2018-01-22 00:00:00	190.5	195	163.4	178	60400
2018-01-23 00:00:00	178	186.4	163	177	49532
2018-01-24 00:00:00	176.9	186.3	171.6	180.9	43321
2018-01-25 00:00:00	180.8	186	175.6	179.6	39844
2018-01-26 00:00:00	179	183.1	165	177.1	49495
2018-01-27 00:00:00	175.7	184	173	182.1	31448
2018-01-28 00:00:00	182.1	198	181.7	196.7	47297
