Time	Open	High	Low	Close	Volume
2017-12-13 00:00:00	272	288	272	276	131
2017-12-13 04:00:00	276	330	270	287	1511
2017-12-13 08:00:00	287	290	270.3	280	677
2017-12-13 12:00:00	280	325	280	297	3013
2017-12-13 16:00:00	294.1	301.6	260	288.9	2576
2017-12-13 20:00:00	288.9	307.9	276	290	1678
2017-12-14 00:00:00	290	302.7	284	288.1	1232
2017-12-14 04:00:00	288.1	295	280	283	1149
2017-12-14 08:00:00	288.5	295	280	285	1021
2017-12-14 12:00:00	287.9	288.8	252	275	2950
2017-12-14 16:00:00	275	278.7	257	264	1772
2017-12-14 20:00:00	264	280	263	272.4	1533
2017-12-15 00:00:00	272.4	276	240	268.9	2880
2017-12-15 04:00:00	269.2	280.2	262	265	1276
2017-12-15 08:00:00	265	272	241	260	2850
2017-12-15 12:00:00	261	312	258	305.5	5216
2017-12-15 16:00:00	305.5	314.2	290	303.2	2658
2017-12-15 20:00:00	303.2	310	291	294	1727
2017-12-16 00:00:00	294	305	290	292.5	979
2017-12-16 04:00:00	292.5	299.9	290	293	887
2017-12-16 08:00:00	293	303.9	291.2	303.2	1415
2017-12-16 12:00:00	303.2	305	285	287	1816
2017-12-16 16:00:00	290.8	297.9	285	286	2064
2017-12-16 20:00:00	286	295.8	286	294	1967
2017-12-17 00:00:00	293	327	290	311	4787
2017-12-17 04:00:00	311	328.8	307	321.1	2884
2017-12-17 08:00:00	321.1	323.4	311.1	319	1564
2017-12-17 12:00:00	319	320	309	316	1571
2017-12-17 16:00:00	316	320	309.1	318.4	2099
2017-12-17 20:00:00	318.6	320.8	308.2	311.4	1801
2017-12-18 00:00:00	311.2	315.9	277	304.3	5323
2017-12-18 04:00:00	305	315	304.1	307.3	1214
2017-12-18 08:00:00	306.9	326	306.9	322.6	1726
2017-12-18 12:00:00	322.7	322.7	304.4	313	2544
2017-12-18 16:00:00	312	325	310	321	2266
2017-12-18 20:00:00	321	361	321	352	4160
2017-12-19 00:00:00	352	356.4	337.5	351	3285
2017-12-19 04:00:00	354.5	367	351	354.3	2959
2017-12-19 08:00:00	354.4	359	303	331	5373
2017-12-19 12:00:00	330	348.4	313	331.5	4001
2017-12-19 16:00:00	331.5	355.6	329.9	346	3163
2017-12-19 20:00:00	348.8	348.8	321	338.5	4436
2017-12-20 00:00:00	336.1	338.5	260	319	10763
2017-12-20 04:00:00	319	333	300	316	3785
2017-12-20 08:00:00	316	328.3	312.1	321.4	2923
2017-12-20 12:00:00	321.4	357	305.2	307.2	5557
2017-12-20 16:00:00	307.2	319.7	296.1	316	4626
2017-12-20 20:00:00	314.2	316	293	302.7	3958
2017-12-21 00:00:00	303.8	319.5	301.1	317	3575
2017-12-21 04:00:00	317	325.2	308	317.8	3630
2017-12-21 08:00:00	317.8	317.9	304	311.4	2162
2017-12-21 12:00:00	311.4	313.2	267	268.3	7821
2017-12-21 16:00:00	268.5	292.3	268.5	281.3	5477
2017-12-21 20:00:00	281.2	303.9	275.5	302	3572
2017-12-22 00:00:00	303	315	243.5	260	11273
2017-12-22 04:00:00	260	291	210.3	227.3	10710
2017-12-22 08:00:00	232	267	216.4	242.8	9294
2017-12-22 12:00:00	242.8	250.9	177.6	233.9	26232
2017-12-22 16:00:00	235	254.2	204	247	12673
2017-12-22 20:00:00	246.1	280	235	251	11074
2017-12-23 00:00:00	251	280	214.9	277.2	6936
2017-12-23 04:00:00	277.2	277.2	244	261	6489
2017-12-23 08:00:00	261	287	255.2	281	4949
2017-12-23 12:00:00	281	299.1	250	274	8666
2017-12-23 16:00:00	273.1	284.8	262.9	277.1	4451
2017-12-23 20:00:00	277.1	301.5	252.1	253.4	7242
2017-12-24 00:00:00	253.4	277	228.1	255	11292
2017-12-24 04:00:00	255	268.8	245	256	4175
2017-12-24 08:00:00	253.4	266	227	237.8	4543
2017-12-24 12:00:00	237.8	255	220	245.4	5975
2017-12-24 16:00:00	244.6	255.1	235	238	3644
2017-12-24 20:00:00	238	263.2	238	262.9	3829
2017-12-25 00:00:00	262.9	270	253	255.5	4912
2017-12-25 04:00:00	255.8	273	251.4	269	5645
2017-12-25 08:00:00	268.9	272.9	265	269	4819
2017-12-25 12:00:00	271	277.5	254	262	5046
2017-12-25 16:00:00	262	267	259	263.6	1889
2017-12-25 20:00:00	263.6	266	257.2	261.2	2126
2017-12-26 00:00:00	261.2	271.5	258	271.5	3160
2017-12-26 04:00:00	271.5	275.4	266.7	272	5472
2017-12-26 08:00:00	272	274.4	266.7	269.2	2819
2017-12-26 12:00:00	267.9	277.5	267.9	273.5	3840
2017-12-26 16:00:00	272.9	282.8	271	278.3	4171
2017-12-26 20:00:00	278.6	280.9	272.5	278	2552
2017-12-27 00:00:00	278	280	275.9	277.2	3429
2017-12-27 04:00:00	278	284.3	275.5	278	5671
2017-12-27 08:00:00	278	281	265	270.5	3329
2017-12-27 12:00:00	270.6	276.3	258	262.7	3820
2017-12-27 16:00:00	262.7	267.7	245.3	256.5	5916
2017-12-27 20:00:00	258.2	267.1	250	262.6	2901
2017-12-28 00:00:00	262.6	266.7	230	241.5	8314
2017-12-28 04:00:00	243	248.9	234	245	5813
2017-12-28 08:00:00	245	248.9	230.1	234.3	4328
2017-12-28 12:00:00	234.7	247.1	233	242.6	3947
2017-12-28 16:00:00	242.6	242.6	222	235	7543
2017-12-28 20:00:00	235	245.7	232.1	244.7	4908
2017-12-29 00:00:00	244.7	255.6	239.9	251.4	6504
2017-12-29 04:00:00	251.4	255.1	241.3	245.1	4147
2017-12-29 08:00:00	245.1	249.3	234	239	3869
2017-12-29 12:00:00	239	249	234	249	5905
2017-12-29 16:00:00	249	261	241	245	6844
2017-12-29 20:00:00	245.2	246	236	238.3	7739
2017-12-30 00:00:00	238.3	244	212.5	222.7	12557
2017-12-30 04:00:00	221.5	226	215.4	224	7378
2017-12-30 08:00:00	224	225	211	216	6794
2017-12-30 12:00:00	216.4	216.4	198.2	203.7	11177
2017-12-30 16:00:00	203.8	217	193.2	217	10460
2017-12-30 20:00:00	217	217	203	206	4593
2017-12-31 00:00:00	206.1	227.1	203	218.8	6469
2017-12-31 04:00:00	219.1	219.1	204.3	209.3	4808
2017-12-31 08:00:00	208.8	214.3	204.3	211.3	3058
2017-12-31 12:00:00	211.8	220.1	209.5	215.1	4472
2017-12-31 16:00:00	215.1	234.4	215.1	225.1	7042
2017-12-31 20:00:00	225.6	229.4	222.5	223.7	3914
2018-01-01 00:00:00	223.7	223.7	212.7	218.1	3888
2018-01-01 04:00:00	218.1	230.8	218.1	225.1	3092
2018-01-01 08:00:00	225.1	228.4	219.5	223.4	2803
2018-01-01 12:00:00	223	231.2	215.5	223.5	3379
2018-01-01 16:00:00	223.6	223.7	216.6	219.5	2607
2018-01-01 20:00:00	219.5	227.2	218.9	222.6	4475
2018-01-02 00:00:00	222.6	250.5	222.6	238.8	19250
2018-01-02 04:00:00	239.9	241.6	231.3	240	4682
2018-01-02 08:00:00	239.2	242.2	238.2	240	4784
2018-01-02 12:00:00	239.5	256.5	239.5	248.4	14252
2018-01-02 16:00:00	248.4	253.4	238	247.4	12887
2018-01-02 20:00:00	248.5	249.8	240	247.3	7463
2018-01-03 00:00:00	247.3	253.4	244.4	245.4	7513
2018-01-03 04:00:00	245.8	252.1	244	249.7	13983
2018-01-03 08:00:00	249.7	250	233.6	244.8	21476
2018-01-03 12:00:00	243.8	248	238	244.9	8805
2018-01-03 16:00:00	245.3	246	236.2	241	10734
2018-01-03 20:00:00	240.3	245.5	237.1	238.8	8884
2018-01-04 00:00:00	238.9	240	230.1	234	10538
2018-01-04 04:00:00	234	237.9	227.6	228	9136
2018-01-04 08:00:00	228	231.1	219.4	229.4	12884
2018-01-04 12:00:00	228.9	230	220.9	222.8	16339
2018-01-04 16:00:00	222.8	238	220	232	19126
2018-01-04 20:00:00	232	233.9	224.3	233	10182
2018-01-05 00:00:00	233	245.5	230	239.4	9824
2018-01-05 04:00:00	239.4	243.5	235	240.9	10416
2018-01-05 08:00:00	240.4	249.3	239.6	247.1	10820
2018-01-05 12:00:00	247.1	249	242.7	244.2	8893
2018-01-05 16:00:00	244.6	251	235	243.4	14533
2018-01-05 20:00:00	242.7	244	237	240.5	10548
2018-01-06 00:00:00	241	294.5	238.7	293.4	33055
2018-01-06 04:00:00	293	295.5	271.1	278.8	18829
2018-01-06 08:00:00	278.8	308.9	278	307.4	12417
2018-01-06 12:00:00	308.8	315	280.5	282.8	18255
2018-01-06 16:00:00	283.9	288.1	273.8	275.5	7949
2018-01-06 20:00:00	275.5	283.6	274.4	275.3	10331
2018-01-07 00:00:00	276.2	285	273	277.1	7413
2018-01-07 04:00:00	276.8	287	276.6	281.5	8216
2018-01-07 08:00:00	282.1	285	281.2	282.1	4145
2018-01-07 12:00:00	282	282.9	275.2	277.6	5386
2018-01-07 16:00:00	277.5	277.6	262	268.7	12066
2018-01-07 20:00:00	268.7	277	266.4	269	6609
2018-01-08 00:00:00	269	271.8	260.1	261.6	9692
2018-01-08 04:00:00	262.1	268.5	259.4	265.5	7924
2018-01-08 08:00:00	265.2	265.4	245	258.3	13264
2018-01-08 12:00:00	258.3	259.8	212.7	241	29077
2018-01-08 16:00:00	241	257.8	241	256	8302
2018-01-08 20:00:00	257.8	258.5	243	252.7	8020
2018-01-09 00:00:00	252.5	257.6	249.4	253.4	6690
2018-01-09 04:00:00	253.4	257.6	243.4	250.5	7305
2018-01-09 08:00:00	249.6	254.4	228.2	246	7522
2018-01-09 12:00:00	245.1	255.1	235.2	250	9986
2018-01-09 16:00:00	250.9	257.6	247.5	249.4	8971
2018-01-09 20:00:00	249.4	253.8	239.6	244.5	13470
2018-01-10 00:00:00	244.6	246.4	235.8	236.3	10041
2018-01-10 04:00:00	236.3	245	235.6	238.1	14023
2018-01-10 08:00:00	238.1	245	225.1	237.4	25963
2018-01-10 12:00:00	237	247.3	229	245	9491
2018-01-10 16:00:00	245	249	240.1	241.4	6545
2018-01-10 20:00:00	241.6	248.4	239	247.6	4893
