Time	Open	High	Low	Close	Volume
2019-04-26 00:00:00	0.003	0.011	0.003	0.005	2251813344
2019-04-27 00:00:00	0.005	0.006	0.005	0.005	440339044
2019-04-28 00:00:00	0.005	0.005	0.004	0.004	457183995
2019-04-29 00:00:00	0.004	0.005	0.003	0.003	520557608
2019-04-30 00:00:00	0.003	0.005	0.003	0.004	1165706916
2019-05-01 00:00:00	0.004	0.005	0.004	0.004	650430770
2019-05-02 00:00:00	0.004	0.005	0.004	0.004	270118898
2019-05-03 00:00:00	0.004	0.004	0.004	0.004	279265842
2019-05-04 00:00:00	0.004	0.004	0.004	0.004	151436198
2019-05-05 00:00:00	0.004	0.004	0.004	0.004	161357654
2019-05-06 00:00:00	0.004	0.004	0.004	0.004	270695618
2019-05-07 00:00:00	0.004	0.004	0.003	0.003	172934727
2019-05-08 00:00:00	0.003	0.003	0.003	0.003	154227998
2019-05-09 00:00:00	0.003	0.003	0.003	0.003	211829277
2019-05-10 00:00:00	0.003	0.004	0.003	0.004	408703765
2019-05-11 00:00:00	0.004	0.005	0.004	0.005	688249986
2019-05-12 00:00:00	0.005	0.006	0.004	0.005	1166562775
2019-05-13 00:00:00	0.005	0.009	0.005	0.009	2877309871
2019-05-14 00:00:00	0.009	0.011	0.007	0.008	3861464365
2019-05-15 00:00:00	0.008	0.01	0.007	0.01	1803273030
2019-05-16 00:00:00	0.01	0.012	0.008	0.011	2158935049
2019-05-17 00:00:00	0.011	0.015	0.009	0.015	4397262378
2019-05-18 00:00:00	0.015	0.015	0.012	0.012	1670915917
2019-05-19 00:00:00	0.012	0.021	0.012	0.02	2909833113
2019-05-20 00:00:00	0.02	0.035	0.018	0.03	4959586037
2019-05-21 00:00:00	0.029	0.045	0.024	0.03	7216196165
2019-05-22 00:00:00	0.03	0.032	0.021	0.022	4411472553
2019-05-23 00:00:00	0.022	0.034	0.021	0.027	5742350991
2019-05-24 00:00:00	0.027	0.029	0.023	0.025	2439816689
2019-05-25 00:00:00	0.025	0.028	0.023	0.025	2092787403
2019-05-26 00:00:00	0.025	0.027	0.023	0.024	1308601561
2019-05-27 00:00:00	0.024	0.025	0.021	0.022	1191302967
2019-05-28 00:00:00	0.022	0.025	0.021	0.024	1527919656
2019-05-29 00:00:00	0.024	0.025	0.022	0.022	860955470
2019-05-30 00:00:00	0.022	0.023	0.018	0.02	1037590854
2019-05-31 00:00:00	0.02	0.023	0.019	0.022	1075501646
2019-06-01 00:00:00	0.022	0.023	0.021	0.021	963080841
2019-06-02 00:00:00	0.021	0.022	0.02	0.02	514773399
2019-06-03 00:00:00	0.02	0.021	0.019	0.019	515148803
2019-06-04 00:00:00	0.019	0.022	0.018	0.021	1436021163
2019-06-05 00:00:00	0.021	0.024	0.02	0.023	1684301230
2019-06-06 00:00:00	0.023	0.025	0.022	0.024	1610958078
2019-06-07 00:00:00	0.024	0.025	0.022	0.024	581785367
2019-06-08 00:00:00	0.024	0.027	0.023	0.026	892055775
2019-06-09 00:00:00	0.026	0.028	0.024	0.025	1037582819
2019-06-10 00:00:00	0.025	0.027	0.024	0.027	861155194
2019-06-11 00:00:00	0.027	0.027	0.023	0.024	652982988
2019-06-12 00:00:00	0.024	0.025	0.023	0.023	680342007
2019-06-13 00:00:00	0.023	0.025	0.022	0.023	1130423155
2019-06-14 00:00:00	0.023	0.023	0.019	0.021	658163324
2019-06-15 00:00:00	0.021	0.023	0.021	0.022	659353892
2019-06-16 00:00:00	0.022	0.023	0.021	0.022	648967811
2019-06-17 00:00:00	0.022	0.024	0.021	0.022	567072847
2019-06-18 00:00:00	0.022	0.023	0.021	0.022	650343345
2019-06-19 00:00:00	0.022	0.024	0.022	0.023	1270664901
2019-06-20 00:00:00	0.023	0.024	0.022	0.022	684710505
2019-06-21 00:00:00	0.022	0.023	0.021	0.021	1001459479
2019-06-22 00:00:00	0.021	0.023	0.021	0.022	1239942582
2019-06-23 00:00:00	0.022	0.022	0.021	0.021	942419662
2019-06-24 00:00:00	0.021	0.022	0.02	0.021	290258626
2019-06-25 00:00:00	0.021	0.021	0.019	0.019	364473731
