Time	Open	High	Low	Close	Volume
2020-08-11 06:00:00	2.85	3.47	2.85	3.14	8929
2020-08-11 06:30:00	3.14	3.14	2.91	2.95	11104
2020-08-11 07:00:00	2.95	3.14	2.95	3.03	13063
2020-08-11 07:30:00	3.1	3.11	2.88	2.92	29007
2020-08-11 08:00:00	2.96	2.97	2.91	2.93	18875
2020-08-11 08:30:00	2.96	3	2.93	2.96	5406
2020-08-11 09:00:00	2.96	2.97	2.93	2.94	10206
2020-08-11 09:30:00	2.94	2.97	2.85	2.85	16167
2020-08-11 10:00:00	2.86	2.93	2.84	2.86	21011
2020-08-11 10:30:00	2.86	2.93	2.86	2.9	5676
2020-08-11 11:00:00	2.92	2.98	2.9	2.97	3661
2020-08-11 11:30:00	2.97	3.1	2.96	3.05	8815
2020-08-11 12:00:00	3.05	3.33	3.05	3.25	78244
2020-08-11 12:30:00	3.26	3.3	3.1	3.11	58537
2020-08-11 13:00:00	3.11	3.12	2.86	2.97	64421
2020-08-11 13:30:00	2.97	3.28	2.87	3.28	168610
2020-08-11 14:00:00	3.28	3.52	3.07	3.14	218109
2020-08-11 14:30:00	3.15	3.32	3.14	3.25	144130
2020-08-11 15:00:00	3.25	3.39	3.15	3.21	124460
2020-08-11 15:30:00	3.21	3.3	3.18	3.19	46369
2020-08-11 16:00:00	3.18	3.29	3.11	3.28	47225
2020-08-11 16:30:00	3.28	3.36	3.2	3.25	58287
2020-08-11 17:00:00	3.25	3.37	3.25	3.37	38058
2020-08-11 17:30:00	3.38	3.38	3.28	3.3	28951
2020-08-11 18:00:00	3.3	3.3	3.21	3.26	20726
2020-08-11 18:30:00	3.26	3.3	3.24	3.27	11171
2020-08-11 19:00:00	3.27	3.28	3.16	3.19	36866
2020-08-11 19:30:00	3.22	3.22	3.17	3.19	12771
2020-08-11 20:00:00	3.19	3.2	3.05	3.06	67775
2020-08-11 20:30:00	3.05	3.14	2.95	3.08	53529
2020-08-11 21:00:00	3.08	3.14	3.07	3.09	20908
2020-08-11 21:30:00	3.09	3.25	3.09	3.22	23245
2020-08-11 22:00:00	3.21	3.25	3.17	3.19	15463
2020-08-11 22:30:00	3.19	3.21	3.08	3.21	19531
2020-08-11 23:00:00	3.2	3.25	3.2	3.25	12653
2020-08-11 23:30:00	3.25	3.32	3.21	3.3	30446
2020-08-12 00:00:00	3.3	3.3	3.15	3.17	25675
2020-08-12 00:30:00	3.16	3.16	3.09	3.11	39115
2020-08-12 01:00:00	3.11	3.21	3.08	3.21	22817
2020-08-12 01:30:00	3.2	3.32	3.2	3.23	46405
2020-08-12 02:00:00	3.23	3.26	3.21	3.21	22216
2020-08-12 02:30:00	3.23	3.23	3.13	3.13	14771
2020-08-12 03:00:00	3.13	3.16	3.12	3.12	18776
2020-08-12 03:30:00	3.12	3.3	3.11	3.28	36507
2020-08-12 04:00:00	3.28	3.3	3.16	3.18	18874
2020-08-12 04:30:00	3.17	3.28	3.15	3.26	21772
2020-08-12 05:00:00	3.25	3.25	3.18	3.19	6897
2020-08-12 05:30:00	3.18	3.23	3.18	3.23	10608
2020-08-12 06:00:00	3.22	3.23	3.13	3.16	37935
2020-08-12 06:30:00	3.18	3.26	3.18	3.25	32030
2020-08-12 07:00:00	3.25	3.27	3.21	3.27	22814
2020-08-12 07:30:00	3.27	3.37	3.23	3.37	37520
2020-08-12 08:00:00	3.36	3.45	3.35	3.4	109686
2020-08-12 08:30:00	3.39	3.52	3.38	3.45	135292
2020-08-12 09:00:00	3.45	3.58	3.4	3.58	64847
2020-08-12 09:30:00	3.58	3.7	3.54	3.67	108568
2020-08-12 10:00:00	3.67	3.75	3.5	3.6	103085
2020-08-12 10:30:00	3.6	3.92	3.59	3.9	124819
2020-08-12 11:00:00	3.9	3.93	3.76	3.76	54213
2020-08-12 11:30:00	3.76	3.78	3.65	3.68	94690
2020-08-12 12:00:00	3.67	3.73	3.65	3.71	42206
2020-08-12 12:30:00	3.71	3.78	3.65	3.68	31426
2020-08-12 13:00:00	3.68	3.85	3.64	3.77	49122
2020-08-12 13:30:00	3.76	3.86	3.73	3.75	28948
