Time	Open	High	Low	Close	Volume
2020-09-17 00:00:00	0.3	15	0.3	3.46	102597243
2020-09-18 00:00:00	3.46	8.6	3.23	6.9	167667930
2020-09-19 00:00:00	6.9	7.5	5.19	5.72	79814535
2020-09-20 00:00:00	5.72	6.09	4.65	5.22	53519748
2020-09-21 00:00:00	5.22	5.65	4.06	4.25	56110528
2020-09-22 00:00:00	4.25	4.55	3.68	3.91	40815748
2020-09-23 00:00:00	3.91	5.35	3.9	4.38	58485606
2020-09-24 00:00:00	4.38	5.29	4.26	5.16	44859196
2020-09-25 00:00:00	5.16	5.55	4.76	4.91	31809889
2020-09-26 00:00:00	4.91	4.99	4.68	4.87	15021069
2020-09-27 00:00:00	4.86	5.21	4.7	4.85	14663679
2020-09-28 00:00:00	4.85	4.95	4.18	4.25	15753048
2020-09-29 00:00:00	4.25	4.41	4.12	4.38	11551812
2020-09-30 00:00:00	4.38	4.39	3.95	4.16	8331900
2020-10-01 00:00:00	4.16	4.51	3.9	4.24	18775705
2020-10-02 00:00:00	4.24	4.24	3.57	3.89	12414377
2020-10-03 00:00:00	3.89	4.12	3.83	3.9	6558920
2020-10-04 00:00:00	3.9	3.94	3.61	3.73	9253104
2020-10-05 00:00:00	3.72	3.8	3.18	3.32	14619851
2020-10-06 00:00:00	3.32	3.34	2.63	2.71	23504681
2020-10-07 00:00:00	2.71	3	2.48	2.96	24192449
2020-10-08 00:00:00	2.96	3.47	2.64	3.35	25679057
2020-10-09 00:00:00	3.35	3.6	3.17	3.38	16228685
2020-10-10 00:00:00	3.38	3.66	3.27	3.3	10858905
2020-10-11 00:00:00	3.3	3.45	3.18	3.36	8504867
2020-10-12 00:00:00	3.36	3.6	3.28	3.46	8926457
2020-10-13 00:00:00	3.46	3.5	3.29	3.35	5585590
2020-10-14 00:00:00	3.35	3.44	2.97	3.11	11409190
2020-10-15 00:00:00	3.11	3.17	2.92	3.08	7895053
2020-10-16 00:00:00	3.08	3.38	2.88	3.04	13597659
2020-10-17 00:00:00	3.04	3.12	2.97	3.06	5391149
2020-10-18 00:00:00	3.06	3.29	3.05	3.28	5642308
2020-10-19 00:00:00	3.28	3.29	3.11	3.17	4410952
2020-10-20 00:00:00	3.17	3.19	2.8	2.86	9089360
2020-10-21 00:00:00	2.86	3.09	2.84	2.94	9708664
2020-10-22 00:00:00	2.94	3.15	2.92	3.04	5420865
2020-10-23 00:00:00	3.04	3.12	2.96	3.01	4318838
2020-10-24 00:00:00	3.01	3.09	2.93	2.94	3415761
2020-10-25 00:00:00	2.94	2.97	2.71	2.77	4908519
2020-10-26 00:00:00	2.77	2.88	2.52	2.71	7181323
2020-10-27 00:00:00	2.71	2.91	2.7	2.81	7266284
2020-10-28 00:00:00	2.81	2.86	2.6	2.66	6456537
2020-10-29 00:00:00	2.66	2.74	2.49	2.54	4388824
2020-10-30 00:00:00	2.54	2.57	2.23	2.41	11811064
2020-10-31 00:00:00	2.41	2.41	2.24	2.27	4373059
2020-11-01 00:00:00	2.26	2.45	2.22	2.38	5706770
2020-11-02 00:00:00	2.38	2.45	2.22	2.25	6033670
2020-11-03 00:00:00	2.25	2.28	2.06	2.14	7235362
2020-11-04 00:00:00	2.14	2.17	1.88	1.93	10088138
2020-11-05 00:00:00	1.93	2.43	1.76	2.19	30375825
2020-11-06 00:00:00	2.19	2.69	2.17	2.57	29787164
2020-11-07 00:00:00	2.57	3.03	2.42	2.48	38120436
2020-11-08 00:00:00	2.48	2.92	2.43	2.87	13015924
2020-11-09 00:00:00	2.86	2.88	2.57	2.68	11032913
2020-11-10 00:00:00	2.68	3.18	2.63	3.08	16785512
2020-11-11 00:00:00	3.08	3.22	2.87	2.93	12850062
2020-11-12 00:00:00	2.93	3.14	2.83	2.96	9926205
2020-11-13 00:00:00	2.96	3.99	2.94	3.86	24145454
2020-11-14 00:00:00	3.86	3.97	3.51	3.82	22324111
2020-11-15 00:00:00	3.81	4.25	3.61	3.85	23584032
2020-11-16 00:00:00	3.85	3.95	3.45	3.56	24094633
2020-11-17 00:00:00	3.56	3.87	3.48	3.81	18165531
2020-11-18 00:00:00	3.81	3.85	3.27	3.46	15439069
2020-11-19 00:00:00	3.46	3.89	3.21	3.74	18721748
2020-11-20 00:00:00	3.74	4.09	3.68	3.86	16999013
2020-11-21 00:00:00	3.86	3.94	3.59	3.84	15599810
2020-11-22 00:00:00	3.84	3.95	3.41	3.68	11204467
2020-11-23 00:00:00	3.68	4.23	3.63	4.18	15957710
2020-11-24 00:00:00	4.19	4.49	3.93	4.06	18389434
2020-11-25 00:00:00	4.06	4.2	3.51	3.68	11368310
2020-11-26 00:00:00	3.67	3.77	3.1	3.43	17185278
2020-11-27 00:00:00	3.43	3.54	3.16	3.31	8371304
2020-11-28 00:00:00	3.31	3.54	3.26	3.46	5741093
2020-11-29 00:00:00	3.46	3.57	3.36	3.55	4758337
2020-11-30 00:00:00	3.55	3.81	3.53	3.78	8223988
2020-12-01 00:00:00	3.78	3.99	3.39	3.55	9910970
2020-12-02 00:00:00	3.55	4.17	3.23	3.95	12004989
2020-12-03 00:00:00	3.95	4.02	3.8	3.88	6927522
2020-12-04 00:00:00	3.88	3.92	3.5	3.52	4748592
2020-12-05 00:00:00	3.52	3.7	3.44	3.68	3897294
2020-12-06 00:00:00	3.68	3.79	3.51	3.65	3549601
2020-12-07 00:00:00	3.65	3.88	3.56	3.76	5871742
2020-12-08 00:00:00	3.76	3.76	3.28	3.3	7194506
2020-12-09 00:00:00	3.3	3.39	3.12	3.35	6530712
2020-12-10 00:00:00	3.35	3.37	3.19	3.24	3061369
2020-12-11 00:00:00	3.24	3.25	2.91	2.96	5099890
2020-12-12 00:00:00	2.96	3.18	2.96	3.12	3887498
2020-12-13 00:00:00	3.12	3.37	3.07	3.34	3299207
2020-12-14 00:00:00	3.34	3.55	3.24	3.48	4313038
2020-12-15 00:00:00	3.48	3.52	3.31	3.33	5014303
2020-12-16 00:00:00	3.33	3.54	3.24	3.54	6136116
2020-12-17 00:00:00	3.53	4	3.43	3.69	14187745
2020-12-18 00:00:00	3.69	3.86	3.55	3.77	7200096
2020-12-19 00:00:00	3.77	4.24	3.62	3.96	16323495
2020-12-20 00:00:00	3.96	4.03	3.69	3.76	7894779
2020-12-21 00:00:00	3.76	3.92	3.42	3.51	8582533
2020-12-22 00:00:00	3.51	3.78	3.28	3.73	9913299
2020-12-23 00:00:00	3.73	3.78	3.01	3.31	9033673
2020-12-24 00:00:00	3.31	3.53	3.16	3.52	6353626
2020-12-25 00:00:00	3.53	3.65	3.36	3.5	5352606
2020-12-26 00:00:00	3.5	3.6	3.36	3.42	5804237
2020-12-27 00:00:00	3.42	3.81	3.36	3.6	9416409
2020-12-28 00:00:00	3.6	4	3.57	3.73	7192872
2020-12-29 00:00:00	3.73	3.84	3.49	3.67	5313128
2020-12-30 00:00:00	3.68	4.38	3.63	4.15	12486829
2020-12-31 00:00:00	4.15	5.29	3.93	5.15	22047171
2021-01-01 00:00:00	5.15	5.28	4.59	4.74	12818175
2021-01-02 00:00:00	4.74	5.2	4.48	4.86	15422987
2021-01-03 00:00:00	4.86	5.64	4.68	5.52	16004771
2021-01-04 00:00:00	5.51	6.2	4.86	5.42	17737660
2021-01-05 00:00:00	5.43	6.56	5.16	6.25	13101900
2021-01-06 00:00:00	6.25	6.59	6	6.42	8261089
2021-01-07 00:00:00	6.42	6.84	6.03	6.25	7832595
