Time	Open	High	Low	Close	Volume
2020-09-17 03:00:00	0.3	15	0.3	3.01	5926009
2020-09-17 04:00:00	3	3.02	2.35	2.64	3802776
2020-09-17 05:00:00	2.64	2.91	2.42	2.51	3180399
2020-09-17 06:00:00	2.52	3.81	2.44	3.7	8615409
2020-09-17 07:00:00	3.7	4.5	3.31	3.41	8877112
2020-09-17 08:00:00	3.4	3.64	2.83	2.88	6427481
2020-09-17 09:00:00	2.89	3.18	2.74	2.97	5116412
2020-09-17 10:00:00	2.97	3.2	2.88	2.98	4095040
2020-09-17 11:00:00	2.97	3.11	2.8	2.87	2548143
2020-09-17 12:00:00	2.87	2.88	2.45	2.6	5361571
2020-09-17 13:00:00	2.61	2.97	2.55	2.87	4092671
2020-09-17 14:00:00	2.88	2.93	2.72	2.93	2780213
2020-09-17 15:00:00	2.93	3.26	2.91	3	5348211
2020-09-17 16:00:00	3	3.67	2.95	3.59	5385476
2020-09-17 17:00:00	3.59	3.96	3.48	3.61	8170934
2020-09-17 18:00:00	3.61	3.77	3.24	3.48	5842103
2020-09-17 19:00:00	3.48	3.64	3.34	3.5	3116622
2020-09-17 20:00:00	3.5	3.88	3.46	3.69	3766869
2020-09-17 21:00:00	3.68	3.78	3.51	3.6	2320520
2020-09-17 22:00:00	3.6	3.65	3.09	3.19	3680806
2020-09-17 23:00:00	3.19	3.63	3.19	3.46	4142466
2020-09-18 00:00:00	3.46	3.68	3.37	3.38	2231219
2020-09-18 01:00:00	3.38	3.43	3.23	3.38	1488416
2020-09-18 02:00:00	3.38	3.75	3.3	3.66	2359748
2020-09-18 03:00:00	3.67	4.21	3.56	4.1	5052329
2020-09-18 04:00:00	4.1	4.8	4.05	4.45	9080677
2020-09-18 05:00:00	4.45	4.74	4.21	4.6	4852636
2020-09-18 06:00:00	4.6	5.38	4.45	5.17	8424162
2020-09-18 07:00:00	5.16	5.9	5	5.79	8524428
2020-09-18 08:00:00	5.79	5.8	4.72	5.12	9435016
2020-09-18 09:00:00	5.13	5.48	4.86	5.17	4954963
2020-09-18 10:00:00	5.16	5.33	4.97	5.19	3442940
2020-09-18 11:00:00	5.19	5.31	4.75	4.82	3690525
2020-09-18 12:00:00	4.82	5.21	4.82	5.15	3562785
2020-09-18 13:00:00	5.15	5.7	5.13	5.49	5994250
2020-09-18 14:00:00	5.49	5.99	5.34	5.89	6213755
2020-09-18 15:00:00	5.89	6.79	5.75	6.37	15622676
2020-09-18 16:00:00	6.37	7.14	6.16	7.07	8427951
2020-09-18 17:00:00	7.07	7.99	6.76	7.72	13099704
2020-09-18 18:00:00	7.72	8.6	6.35	6.63	19877058
2020-09-18 19:00:00	6.63	7.11	6.2	6.42	7169317
2020-09-18 20:00:00	6.42	6.97	6.02	6.82	7291897
2020-09-18 21:00:00	6.82	7.47	6.54	7.34	5716417
2020-09-18 22:00:00	7.34	7.77	7.02	7.74	4992924
2020-09-18 23:00:00	7.74	7.75	6.64	6.9	6162137
2020-09-19 00:00:00	6.9	7.45	6.9	7.08	3420204
2020-09-19 01:00:00	7.09	7.29	6.31	6.58	4274022
2020-09-19 02:00:00	6.58	6.8	6.2	6.38	2791273
2020-09-19 03:00:00	6.38	6.6	6.13	6.18	2827312
2020-09-19 04:00:00	6.17	6.8	6.16	6.63	2811992
2020-09-19 05:00:00	6.62	7.1	6.56	6.83	3150909
2020-09-19 06:00:00	6.83	6.88	6.34	6.58	2793885
2020-09-19 07:00:00	6.58	6.63	6.26	6.32	1742640
2020-09-19 08:00:00	6.32	6.61	6.26	6.56	2077468
2020-09-19 09:00:00	6.56	6.94	6.52	6.81	2763896
