Time	Open	High	Low	Close	Volume
2020-09-17 03:00:00	0.3	15	0.3	3.43	2530429
2020-09-17 03:15:00	3.43	3.45	2.6	2.86	1325423
2020-09-17 03:30:00	2.89	3.57	2.85	2.94	1263302
2020-09-17 03:45:00	2.93	3.1	2.83	3.01	806857
2020-09-17 04:00:00	3	3.02	2.63	2.73	880885
2020-09-17 04:15:00	2.74	2.75	2.36	2.36	1119189
2020-09-17 04:30:00	2.37	2.64	2.36	2.5	1025943
2020-09-17 04:45:00	2.5	2.73	2.35	2.64	776760
2020-09-17 05:00:00	2.64	2.84	2.53	2.75	879285
2020-09-17 05:15:00	2.76	2.91	2.6	2.63	987780
2020-09-17 05:30:00	2.61	2.7	2.5	2.57	655103
2020-09-17 05:45:00	2.56	2.58	2.42	2.51	658233
2020-09-17 06:00:00	2.52	2.61	2.44	2.55	598491
2020-09-17 06:15:00	2.55	3.33	2.49	3.19	2745088
2020-09-17 06:30:00	3.17	3.81	3.16	3.32	3091510
2020-09-17 06:45:00	3.3	3.79	3.22	3.7	2180321
2020-09-17 07:00:00	3.7	4.5	3.67	4.18	2997369
2020-09-17 07:15:00	4.18	4.22	3.63	3.64	2045270
2020-09-17 07:30:00	3.63	3.87	3.5	3.54	2179811
2020-09-17 07:45:00	3.53	3.57	3.31	3.41	1654663
2020-09-17 08:00:00	3.4	3.64	3.34	3.53	1482762
2020-09-17 08:15:00	3.53	3.54	3.12	3.23	1789530
2020-09-17 08:30:00	3.23	3.34	2.97	2.99	1604573
2020-09-17 08:45:00	2.98	3.16	2.83	2.88	1550618
2020-09-17 09:00:00	2.89	3.18	2.83	2.99	1666637
2020-09-17 09:15:00	2.99	3.04	2.83	2.88	1423325
2020-09-17 09:30:00	2.89	3.03	2.74	2.76	1001370
2020-09-17 09:45:00	2.76	3	2.75	2.97	1025081
2020-09-17 10:00:00	2.97	3.15	2.88	3.15	1072753
2020-09-17 10:15:00	3.14	3.2	3.04	3.07	1290204
2020-09-17 10:30:00	3.06	3.15	2.95	3.06	953076
2020-09-17 10:45:00	3.06	3.08	2.88	2.98	779007
2020-09-17 11:00:00	2.97	3.11	2.85	2.87	704113
2020-09-17 11:15:00	2.87	2.96	2.81	2.82	626899
2020-09-17 11:30:00	2.81	2.92	2.8	2.9	678440
2020-09-17 11:45:00	2.9	2.97	2.85	2.87	538692
2020-09-17 12:00:00	2.87	2.88	2.67	2.77	1197964
2020-09-17 12:15:00	2.77	2.78	2.48	2.55	2046637
2020-09-17 12:30:00	2.54	2.63	2.45	2.58	1310056
2020-09-17 12:45:00	2.58	2.63	2.52	2.6	806915
2020-09-17 13:00:00	2.61	2.63	2.55	2.59	568072
2020-09-17 13:15:00	2.59	2.84	2.59	2.8	1465408
2020-09-17 13:30:00	2.8	2.82	2.68	2.82	787859
2020-09-17 13:45:00	2.82	2.97	2.79	2.87	1271333
2020-09-17 14:00:00	2.88	2.93	2.83	2.91	646474
2020-09-17 14:15:00	2.9	2.9	2.72	2.8	696765
2020-09-17 14:30:00	2.8	2.89	2.79	2.79	624859
2020-09-17 14:45:00	2.8	2.93	2.79	2.93	812116
2020-09-17 15:00:00	2.93	3.2	2.91	3.07	1728622
2020-09-17 15:15:00	3.07	3.26	3.07	3.19	1317679
2020-09-17 15:30:00	3.19	3.19	2.94	3	1128609
2020-09-17 15:45:00	3	3.18	2.98	3	1173302
2020-09-17 16:00:00	3	3.22	2.95	3.1	1186032
2020-09-17 16:15:00	3.11	3.17	3.05	3.14	589175
2020-09-17 16:30:00	3.14	3.43	3.11	3.39	1687282
2020-09-17 16:45:00	3.39	3.67	3.28	3.59	1922988
2020-09-17 17:00:00	3.59	3.79	3.48	3.55	2346762
2020-09-17 17:15:00	3.55	3.88	3.55	3.86	1978401
2020-09-17 17:30:00	3.86	3.96	3.73	3.8	1787670
2020-09-17 17:45:00	3.81	3.85	3.53	3.61	2058103
2020-09-17 18:00:00	3.61	3.77	3.38	3.39	1662406
2020-09-17 18:15:00	3.38	3.53	3.24	3.26	1658722
2020-09-17 18:30:00	3.26	3.48	3.25	3.45	1302194
2020-09-17 18:45:00	3.45	3.59	3.43	3.48	1218782
2020-09-17 19:00:00	3.48	3.5	3.34	3.36	689517
2020-09-17 19:15:00	3.35	3.59	3.35	3.49	1060356
2020-09-17 19:30:00	3.49	3.64	3.48	3.55	698836
2020-09-17 19:45:00	3.55	3.56	3.43	3.5	667913
2020-09-17 20:00:00	3.5	3.74	3.46	3.74	911256
2020-09-17 20:15:00	3.73	3.83	3.64	3.8	1092001
2020-09-17 20:30:00	3.81	3.88	3.77	3.8	955964
2020-09-17 20:45:00	3.8	3.8	3.64	3.69	807650
2020-09-17 21:00:00	3.68	3.78	3.66	3.72	584096
2020-09-17 21:15:00	3.72	3.72	3.51	3.58	789289
2020-09-17 21:30:00	3.59	3.68	3.57	3.65	500649
2020-09-17 21:45:00	3.65	3.73	3.58	3.6	446487
2020-09-17 22:00:00	3.6	3.65	3.42	3.43	702847
2020-09-17 22:15:00	3.43	3.51	3.25	3.31	930229
2020-09-17 22:30:00	3.32	3.44	3.13	3.17	1130065
2020-09-17 22:45:00	3.17	3.22	3.09	3.19	917666
2020-09-17 23:00:00	3.19	3.44	3.19	3.41	1265391
2020-09-17 23:15:00	3.41	3.63	3.39	3.6	1107645
2020-09-17 23:30:00	3.61	3.61	3.36	3.39	1054990
2020-09-17 23:45:00	3.39	3.51	3.33	3.46	714442
2020-09-18 00:00:00	3.46	3.68	3.39	3.41	1098125
2020-09-18 00:15:00	3.41	3.52	3.4	3.47	426060
2020-09-18 00:30:00	3.47	3.5	3.43	3.49	239898
2020-09-18 00:45:00	3.49	3.54	3.37	3.38	467137
2020-09-18 01:00:00	3.38	3.43	3.26	3.33	634008
2020-09-18 01:15:00	3.33	3.42	3.31	3.4	224004
2020-09-18 01:30:00	3.39	3.4	3.23	3.27	331372
2020-09-18 01:45:00	3.27	3.38	3.26	3.38	299033
2020-09-18 02:00:00	3.38	3.43	3.33	3.35	378415
2020-09-18 02:15:00	3.35	3.42	3.3	3.42	269340
2020-09-18 02:30:00	3.42	3.59	3.41	3.54	646321
2020-09-18 02:45:00	3.54	3.75	3.53	3.66	1065673
2020-09-18 03:00:00	3.67	3.75	3.56	3.74	698449
2020-09-18 03:15:00	3.74	3.88	3.73	3.83	1296499
2020-09-18 03:30:00	3.83	4.21	3.75	4.17	1750110
2020-09-18 03:45:00	4.17	4.17	3.94	4.1	1307272
2020-09-18 04:00:00	4.1	4.52	4.05	4.48	2230693
2020-09-18 04:15:00	4.49	4.75	4.32	4.47	3270712
2020-09-18 04:30:00	4.46	4.8	4.39	4.57	2047927
2020-09-18 04:45:00	4.57	4.64	4.35	4.45	1531345
2020-09-18 05:00:00	4.45	4.49	4.22	4.46	1211762
2020-09-18 05:15:00	4.47	4.48	4.21	4.27	984281
2020-09-18 05:30:00	4.28	4.74	4.26	4.72	1521508
2020-09-18 05:45:00	4.72	4.73	4.49	4.6	1135085
2020-09-18 06:00:00	4.6	4.85	4.45	4.85	1068884
2020-09-18 06:15:00	4.85	5	4.78	4.98	2266838
2020-09-18 06:30:00	4.98	5.38	4.82	5.01	3446754
2020-09-18 06:45:00	5.01	5.18	4.88	5.17	1641686
2020-09-18 07:00:00	5.16	5.3	5	5.26	1657781
2020-09-18 07:15:00	5.26	5.49	5.09	5.39	2058721
2020-09-18 07:30:00	5.39	5.9	5.37	5.83	2875118
2020-09-18 07:45:00	5.83	5.89	5.63	5.79	1932810
2020-09-18 08:00:00	5.79	5.8	5.08	5.19	3451700
