Time	Open	High	Low	Close	Volume
2018-05-04 00:00:00	0.5	1.5	0.5	0.8899	20890229
2018-05-05 00:00:00	0.8898	0.935	0.888	0.9028	16816189
2018-05-06 00:00:00	0.9028	0.918	0.8377	0.8648	16002063
2018-05-07 00:00:00	0.8648	0.8689	0.8	0.8249	17303512
2018-05-08 00:00:00	0.8249	0.848	0.792	0.8067	12971329
2018-05-09 00:00:00	0.8067	0.8189	0.7569	0.7948	13982401
2018-05-10 00:00:00	0.7948	0.8057	0.7409	0.7456	10136919
2018-05-11 00:00:00	0.7492	0.756	0.6476	0.6761	31292505
2018-05-12 00:00:00	0.6738	0.71	0.6252	0.6852	18181174
2018-05-13 00:00:00	0.6819	0.7501	0.6646	0.73	17521287
2018-05-14 00:00:00	0.73	0.7499	0.6859	0.7269	21771386
2018-05-15 00:00:00	0.727	0.7489	0.6801	0.689	12952015
2018-05-16 00:00:00	0.689	0.712	0.6576	0.7059	11182455
2018-05-17 00:00:00	0.7094	0.712	0.6482	0.6585	10070085
2018-05-18 00:00:00	0.6585	0.6826	0.646	0.6777	10140701
2018-05-19 00:00:00	0.677	0.6914	0.6611	0.6734	6854421
2018-05-20 00:00:00	0.6748	0.7066	0.668	0.6994	8055696
2018-05-21 00:00:00	0.6994	0.705	0.6667	0.6761	7908239
2018-05-22 00:00:00	0.6761	0.6782	0.635	0.6378	7567034
2018-05-23 00:00:00	0.6378	0.6449	0.5731	0.592	20078089
2018-05-24 00:00:00	0.5905	0.64	0.5762	0.6281	14214166
2018-05-25 00:00:00	0.6297	0.6339	0.5934	0.6046	20060635
2018-05-26 00:00:00	0.606	0.6262	0.5977	0.6085	25800090
2018-05-27 00:00:00	0.6091	0.648	0.5971	0.6042	23735099
2018-05-28 00:00:00	0.6042	0.6091	0.5434	0.5469	29854832
2018-05-29 00:00:00	0.5469	0.6092	0.543	0.6	30948317
2018-05-30 00:00:00	0.5997	0.626	0.581	0.6015	31305636
2018-05-31 00:00:00	0.6005	0.6226	0.5883	0.6114	33579993
2018-06-01 00:00:00	0.6114	0.6243	0.6024	0.6215	34403386
2018-06-02 00:00:00	0.6224	0.652	0.6151	0.6427	37211557
2018-06-03 00:00:00	0.6429	0.691	0.6386	0.6901	37142741
2018-06-04 00:00:00	0.6901	0.707	0.6351	0.6551	48290011
2018-06-05 00:00:00	0.6551	0.686	0.6328	0.6746	42509410
2018-06-06 00:00:00	0.6751	0.6833	0.653	0.6741	34326211
2018-06-07 00:00:00	0.6738	0.69	0.6709	0.6776	35031841
2018-06-08 00:00:00	0.6777	0.68	0.6583	0.6721	32089626
2018-06-09 00:00:00	0.6721	0.68	0.6551	0.6574	31323238
2018-06-10 00:00:00	0.6569	0.6585	0.55	0.582	47688632
2018-06-11 00:00:00	0.582	0.6	0.56	0.5999	23744353
2018-06-12 00:00:00	0.599	0.5991	0.5415	0.5556	29332969
2018-06-13 00:00:00	0.5556	0.5612	0.504	0.5286	36877794
2018-06-14 00:00:00	0.5286	0.569	0.5193	0.5577	35000478
2018-06-15 00:00:00	0.5577	0.5593	0.5245	0.5326	25702515
2018-06-16 00:00:00	0.5322	0.5385	0.5173	0.5327	26240602
2018-06-17 00:00:00	0.5323	0.5437	0.52	0.5262	33461842
2018-06-18 00:00:00	0.5267	0.5535	0.5082	0.5387	33893351
2018-06-19 00:00:00	0.5384	0.5619	0.5207	0.5483	28857286
2018-06-20 00:00:00	0.5483	0.5519	0.5206	0.5392	34683119
2018-06-21 00:00:00	0.5392	0.549	0.529	0.5346	29891932
2018-06-22 00:00:00	0.5342	0.5351	0.4686	0.4822	41843204
