Time	Open	High	Low	Close	Volume
2018-05-04 08:00:00	0.5	1.5	0.5	0.923	5090858
2018-05-04 09:00:00	0.923	0.9285	0.901	0.902	3326697
2018-05-04 10:00:00	0.902	0.9103	0.8951	0.9013	1176811
2018-05-04 11:00:00	0.9013	0.9213	0.88	0.916	1714234
2018-05-04 12:00:00	0.916	0.9245	0.9	0.901	1323802
2018-05-04 13:00:00	0.901	0.9099	0.89	0.8972	1258091
2018-05-04 14:00:00	0.8979	0.9049	0.895	0.9028	1056742
2018-05-04 15:00:00	0.9011	0.9028	0.8764	0.8839	1640833
2018-05-04 16:00:00	0.8837	0.898	0.878	0.8944	832085
2018-05-04 17:00:00	0.895	0.8999	0.8839	0.8842	656603
2018-05-04 18:00:00	0.887	0.89	0.8811	0.89	577776
2018-05-04 19:00:00	0.8907	0.893	0.8851	0.892	415984
2018-05-04 20:00:00	0.892	0.898	0.8907	0.8962	313510
2018-05-04 21:00:00	0.8962	0.907	0.8962	0.9	733046
2018-05-04 22:00:00	0.9	0.902	0.8934	0.8973	382956
2018-05-04 23:00:00	0.897	0.8973	0.8891	0.8899	390201
2018-05-05 00:00:00	0.8898	0.905	0.888	0.8964	651077
2018-05-05 01:00:00	0.8964	0.9055	0.8922	0.9055	581304
2018-05-05 02:00:00	0.9055	0.907	0.8971	0.9009	576320
2018-05-05 03:00:00	0.9009	0.903	0.898	0.9016	437288
2018-05-05 04:00:00	0.9016	0.9099	0.9016	0.906	520056
2018-05-05 05:00:00	0.906	0.9071	0.9001	0.9055	369932
2018-05-05 06:00:00	0.9044	0.9077	0.9013	0.903	712073
2018-05-05 07:00:00	0.903	0.9062	0.9013	0.9029	392626
2018-05-05 08:00:00	0.9029	0.9062	0.9017	0.9032	498752
2018-05-05 09:00:00	0.903	0.905	0.9018	0.9021	241413
2018-05-05 10:00:00	0.9037	0.9099	0.902	0.9079	941414
2018-05-05 11:00:00	0.9079	0.908	0.8968	0.9018	1386467
2018-05-05 12:00:00	0.9024	0.909	0.9018	0.9053	619715
2018-05-05 13:00:00	0.9047	0.9234	0.9041	0.905	1834462
2018-05-05 14:00:00	0.905	0.9156	0.9049	0.915	766766
2018-05-05 15:00:00	0.9145	0.935	0.9145	0.9321	1366021
2018-05-05 16:00:00	0.9321	0.9321	0.915	0.9199	1276275
2018-05-05 17:00:00	0.9198	0.9234	0.915	0.915	648905
2018-05-05 18:00:00	0.915	0.92	0.9105	0.9121	565152
2018-05-05 19:00:00	0.9121	0.9132	0.9075	0.908	368420
2018-05-05 20:00:00	0.908	0.9111	0.898	0.901	732836
2018-05-05 21:00:00	0.901	0.9049	0.896	0.9021	707334
2018-05-05 22:00:00	0.904	0.911	0.8989	0.905	470238
2018-05-05 23:00:00	0.9061	0.9085	0.9022	0.9028	151343
2018-05-06 00:00:00	0.9028	0.909	0.9001	0.9081	900771
2018-05-06 01:00:00	0.907	0.9115	0.9044	0.91	698653
2018-05-06 02:00:00	0.91	0.918	0.903	0.908	834886
2018-05-06 03:00:00	0.908	0.9135	0.9072	0.9123	223768
2018-05-06 04:00:00	0.9123	0.9161	0.9028	0.9029	460073
2018-05-06 05:00:00	0.9029	0.905	0.8845	0.8845	1360177
2018-05-06 06:00:00	0.8845	0.8849	0.8558	0.8737	2314004
2018-05-06 07:00:00	0.8737	0.88	0.87	0.8797	574642
2018-05-06 08:00:00	0.8797	0.8814	0.8562	0.866	950687
2018-05-06 09:00:00	0.866	0.8707	0.86	0.8668	741844
2018-05-06 10:00:00	0.8667	0.8769	0.8625	0.8656	444703
2018-05-06 11:00:00	0.8672	0.87	0.85	0.8555	954135
2018-05-06 12:00:00	0.8558	0.86	0.8377	0.8581	1458555
2018-05-06 13:00:00	0.858	0.8698	0.8541	0.862	627094
2018-05-06 14:00:00	0.8624	0.87	0.854	0.8658	362930
2018-05-06 15:00:00	0.8658	0.8715	0.8515	0.8575	561249
2018-05-06 16:00:00	0.8575	0.8712	0.8571	0.8671	474988
2018-05-06 17:00:00	0.8671	0.871	0.866	0.8672	416083
2018-05-06 18:00:00	0.8671	0.869	0.86	0.8615	397556
2018-05-06 19:00:00	0.8616	0.8654	0.855	0.8567	220932
2018-05-06 20:00:00	0.8567	0.86	0.853	0.8531	298284
2018-05-06 21:00:00	0.8535	0.8567	0.85	0.8538	157931
2018-05-06 22:00:00	0.8538	0.8682	0.8511	0.8617	304952
2018-05-06 23:00:00	0.862	0.8673	0.86	0.8648	263166
2018-05-07 00:00:00	0.8648	0.8689	0.844	0.844	499951
2018-05-07 01:00:00	0.844	0.8477	0.8163	0.825	1608532
2018-05-07 02:00:00	0.826	0.8269	0.8118	0.8205	1067409
2018-05-07 03:00:00	0.821	0.827	0.8	0.823	2191402
2018-05-07 04:00:00	0.823	0.8264	0.8159	0.8199	784264
