Time	Open	High	Low	Close	Volume
2007-09-03 04:00:00	2.4333	2.4411	2.4319	2.438	54342
2007-09-03 08:00:00	2.4381	2.4396	2.4347	2.437	84069
2007-09-03 12:00:00	2.437	2.4411	2.4366	2.4402	80058
2007-09-03 16:00:00	2.4403	2.4418	2.4391	2.4401	17105
2007-09-03 20:00:00	2.4401	2.4419	2.4379	2.4391	14224
2007-09-04 00:00:00	2.4391	2.4424	2.437	2.4417	33061
2007-09-04 04:00:00	2.4417	2.4419	2.43515	2.4356	73451
2007-09-04 08:00:00	2.4355	2.4424	2.4341	2.4386	154459
2007-09-04 12:00:00	2.4386	2.44265	2.43445	2.4347	97995
2007-09-04 16:00:00	2.4348	2.4411	2.4345	2.4397	35586
2007-09-04 20:00:00	2.4397	2.441	2.43628	2.4391	23083
2007-09-05 00:00:00	2.4391	2.4407	2.4353	2.4366	19026
2007-09-05 04:00:00	2.4366	2.438	2.4302	2.4325	79099
2007-09-05 08:00:00	2.4324	2.4386	2.4318	2.4352	116356
2007-09-05 12:00:00	2.4351	2.4388	2.4293	2.4315	168544
2007-09-05 16:00:00	2.4315	2.4349	2.4302	2.43205	56240
2007-09-05 20:00:00	2.43205	2.433	2.4297	2.4308	24121
2007-09-06 00:00:00	2.4308	2.4351	2.43035	2.43435	28872
2007-09-06 04:00:00	2.4343	2.4412	2.4333	2.4387	76406
2007-09-06 08:00:00	2.4387	2.44	2.4246	2.42695	145153
2007-09-06 12:00:00	2.42695	2.4322	2.4244	2.43055	164845
2007-09-06 16:00:00	2.4304	2.4325	2.42935	2.43145	33787
2007-09-06 20:00:00	2.43145	2.4322	2.4286	2.4294	19022
2007-09-07 00:00:00	2.4293	2.43	2.4256	2.4291	32605
2007-09-07 04:00:00	2.4291	2.4301	2.423	2.4252	63574
2007-09-07 08:00:00	2.4252	2.4297	2.4234	2.4264	103987
2007-09-07 12:00:00	2.4264	2.4276	2.4041	2.4098	243134
2007-09-07 16:00:00	2.4098	2.4112	2.40625	2.411	66782
2007-09-07 20:00:00	2.411	2.4117	2.4095	2.4108	6087
2007-09-09 20:00:00	2.40786	2.40872	2.4028	2.40575	10428
2007-09-10 00:00:00	2.40575	2.41055	2.40425	2.4101	26898
2007-09-10 04:00:00	2.4101	2.4104	2.403	2.4063	48345
2007-09-10 08:00:00	2.4062	2.4121	2.4058	2.4097	102799
2007-09-10 12:00:00	2.4098	2.4124	2.4046	2.4057	129726
2007-09-10 16:00:00	2.4057	2.4084	2.4034	2.40635	43723
2007-09-10 20:00:00	2.4064	2.4067	2.4027	2.4054	24100
2007-09-11 00:00:00	2.4054	2.4066	2.40471	2.4057	32342
2007-09-11 04:00:00	2.4057	2.4098	2.404	2.4073	88391
2007-09-11 08:00:00	2.4073	2.4121	2.4048	2.41065	150506
2007-09-11 12:00:00	2.41065	2.4115	2.4044	2.4104	161160
2007-09-11 16:00:00	2.4104	2.4172	2.4102	2.4164	85026
2007-09-11 20:00:00	2.4164	2.4185	2.41572	2.4171	29518
2007-09-12 00:00:00	2.4171	2.4175	2.4105	2.4117	35877
2007-09-12 04:00:00	2.4116	2.4143	2.409	2.4105	74801
2007-09-12 08:00:00	2.4105	2.4138	2.4008	2.40205	178815
2007-09-12 12:00:00	2.402	2.4078	2.3995	2.4058	193914
2007-09-12 16:00:00	2.4057	2.407	2.4037	2.4054	72064
2007-09-12 20:00:00	2.4054	2.4065	2.4011	2.4022	31902
2007-09-13 00:00:00	2.4022	2.4044	2.4015	2.4044	35100
2007-09-13 04:00:00	2.4044	2.4053	2.3981	2.3988	99859
2007-09-13 08:00:00	2.3988	2.4057	2.3932	2.405	175456
2007-09-13 12:00:00	2.405	2.4097	2.3934	2.4069	132484
2007-09-13 16:00:00	2.4068	2.4139	2.4054	2.4092	55028
2007-09-13 20:00:00	2.4092	2.4104	2.38955	2.3926	31586
2007-09-14 00:00:00	2.3926	2.3949	2.38995	2.39425	7406
2007-09-14 04:00:00	2.39425	2.3998	2.3882	2.3916	78994
2007-09-14 08:00:00	2.3916	2.39575	2.385	2.38945	156072
2007-09-14 12:00:00	2.3894	2.3963	2.3841	2.3906	150819
2007-09-14 16:00:00	2.3906	2.39265	2.3856	2.3857	45442
2007-09-14 20:00:00	2.3857	2.3888	2.3838	2.3875	8539
2007-09-16 20:00:00	2.38466	2.3865	2.38115	2.38625	8551
2007-09-17 00:00:00	2.3863	2.3874	2.38395	2.3842	39725
2007-09-17 04:00:00	2.3842	2.3854	2.3738	2.3744	105027
2007-09-17 08:00:00	2.3743	2.3759	2.3674	2.371	108869
2007-09-17 12:00:00	2.371	2.3788	2.365	2.3651	88591
2007-09-17 16:00:00	2.3651	2.3704	2.3644	2.3679	29439
2007-09-17 20:00:00	2.3679	2.369	2.3653	2.36615	14041
2007-09-18 00:00:00	2.36615	2.3665	2.3589	2.36095	46285
2007-09-18 04:00:00	2.361	2.36865	2.3592	2.3678	121672
2007-09-18 08:00:00	2.3678	2.3705	2.361	2.3651	133358
2007-09-18 12:00:00	2.365	2.3757	2.3642	2.37475	140680
2007-09-18 16:00:00	2.3747	2.3822	2.3721	2.3792	102125
2007-09-18 20:00:00	2.3791	2.37995	2.3737	2.3762	36463
2007-09-19 00:00:00	2.3761	2.3795	2.37545	2.3775	60038
2007-09-19 04:00:00	2.3775	2.3822	2.37275	2.3738	127125
2007-09-19 08:00:00	2.3738	2.3754	2.35895	2.3607	199451
2007-09-19 12:00:00	2.3607	2.3716	2.3591	2.3688	160962
2007-09-19 16:00:00	2.3688	2.3712	2.3662	2.3699	53972
2007-09-19 20:00:00	2.3699	2.3699	2.36628	2.367	22025
2007-09-20 00:00:00	2.367	2.3678	2.3649	2.3662	24513
2007-09-20 04:00:00	2.36615	2.3664	2.35425	2.356	116937
2007-09-20 08:00:00	2.356	2.3596	2.34995	2.3551	217708
2007-09-20 12:00:00	2.3551	2.3585	2.3526	2.3546	249187
2007-09-20 16:00:00	2.3549	2.3571	2.3513	2.35605	87951
2007-09-20 20:00:00	2.35595	2.3563	2.3515	2.3562	23033
2007-09-21 00:00:00	2.3562	2.3583	2.35395	2.3546	33607
2007-09-21 04:00:00	2.3546	2.3599	2.3488	2.3589	131656
2007-09-21 08:00:00	2.3588	2.3695	2.3585	2.3677	154894
2007-09-21 12:00:00	2.3677	2.3728	2.3664	2.3711	189803
2007-09-21 16:00:00	2.3711	2.3722	2.3673	2.3676	38688
2007-09-21 20:00:00	2.3676	2.3689	2.3667	2.3683	2478
2007-09-23 20:00:00	2.36776	2.36873	2.3664	2.36705	13022
2007-09-24 00:00:00	2.36705	2.37145	2.36667	2.37055	26197
2007-09-24 04:00:00	2.3706	2.3761	2.3691	2.3718	80931
2007-09-24 08:00:00	2.3718	2.3743	2.3696	2.374	136211
2007-09-24 12:00:00	2.374	2.3761	2.371	2.37365	179008
2007-09-24 16:00:00	2.3736	2.3738	2.3699	2.3705	36129
2007-09-24 20:00:00	2.3706	2.3724	2.3693	2.3702	28903
2007-09-25 00:00:00	2.3702	2.3704	2.3599	2.3608	56385
2007-09-25 04:00:00	2.3608	2.3634	2.357	2.3579	123052
2007-09-25 08:00:00	2.3578	2.3596	2.3508	2.3532	190168
2007-09-25 12:00:00	2.3532	2.3564	2.3509	2.3558	236438
2007-09-25 16:00:00	2.3558	2.3559	2.3505	2.3547	71786
2007-09-25 20:00:00	2.3547	2.3555	2.3517	2.3531	37273
2007-09-26 00:00:00	2.3531	2.3562	2.3513	2.3538	28100
2007-09-26 04:00:00	2.3538	2.3594	2.3508	2.3577	91651
2007-09-26 08:00:00	2.3577	2.3618	2.35065	2.3594	215094
2007-09-26 12:00:00	2.3594	2.36365	2.3576	2.36035	218945
2007-09-26 16:00:00	2.36025	2.3613	2.3549	2.3599	81894
2007-09-26 20:00:00	2.3599	2.3603	2.3562	2.3577	25197
2007-09-27 00:00:00	2.35756	2.3586	2.3551	2.35795	30006
2007-09-27 04:00:00	2.35795	2.3685	2.3566	2.3672	108027
2007-09-27 08:00:00	2.3672	2.3726	2.3663	2.3706	151798
2007-09-27 12:00:00	2.37065	2.3755	2.3676	2.3744	222304
2007-09-27 16:00:00	2.3744	2.3773	2.3718	2.3766	81532
2007-09-27 20:00:00	2.3766	2.3814	2.3758	2.3768	24445
2007-09-28 00:00:00	2.3769	2.3792	2.3688	2.3697	44013
2007-09-28 04:00:00	2.3697	2.3707	2.3657	2.3699	107177
2007-09-28 08:00:00	2.3699	2.3784	2.3697	2.3771	226159
2007-09-28 12:00:00	2.3771	2.384	2.3711	2.3796	268041
2007-09-28 16:00:00	2.3796	2.3822	2.37785	2.3816	95128
2007-09-28 20:00:00	2.3816	2.3847	2.38145	2.3821	9015
2007-09-30 20:00:00	2.37708	2.38056	2.3768	2.3778	21286
2007-10-01 00:00:00	2.37785	2.3839	2.3774	2.383	45475
2007-10-01 04:00:00	2.383	2.3974	2.38205	2.3956	95681
2007-10-01 08:00:00	2.3956	2.3967	2.3785	2.38035	167846
2007-10-01 12:00:00	2.3804	2.3884	2.38	2.3874	165356
2007-10-01 16:00:00	2.3874	2.3904	2.38605	2.3882	39267
2007-10-01 20:00:00	2.38825	2.3894	2.38485	2.388	17094
2007-10-02 00:00:00	2.38835	2.3887	2.3847	2.3873	48703
2007-10-02 04:00:00	2.3873	2.3909	2.385	2.39	110766
2007-10-02 08:00:00	2.39	2.4015	2.3878	2.3994	192095
2007-10-02 12:00:00	2.3993	2.4023	2.3974	2.3987	180619
2007-10-02 16:00:00	2.3989	2.40065	2.3962	2.3993	53205
2007-10-02 20:00:00	2.3993	2.4009	2.3966	2.39805	26694
2007-10-03 00:00:00	2.39805	2.3995	2.39725	2.3983	37754
2007-10-03 04:00:00	2.3983	2.4004	2.3947	2.3953	116905
2007-10-03 08:00:00	2.3953	2.3958	2.3901	2.3916	228828
2007-10-03 12:00:00	2.3916	2.402	2.3904	2.4015	216329
2007-10-03 16:00:00	2.4014	2.4039	2.3948	2.3962	86993
2007-10-03 20:00:00	2.3962	2.3991	2.3957	2.397	28792
2007-10-04 00:00:00	2.397	2.3986	2.3957	2.3971	34660
2007-10-04 04:00:00	2.3971	2.3974	2.3901	2.3927	123297
2007-10-04 08:00:00	2.3927	2.4002	2.3919	2.3978	165267
2007-10-04 12:00:00	2.3978	2.4025	2.3955	2.3963	245948
2007-10-04 16:00:00	2.39625	2.3965	2.3933	2.3935	63423
2007-10-04 20:00:00	2.3935	2.3966	2.3931	2.3941	23646
2007-10-05 00:00:00	2.3941	2.3967	2.39355	2.3946	26476
2007-10-05 04:00:00	2.3946	2.3961	2.391	2.3937	109075
2007-10-05 08:00:00	2.3938	2.4015	2.393	2.3994	144336
2007-10-05 12:00:00	2.3994	2.4074	2.3963	2.4031	210320
2007-10-05 16:00:00	2.403	2.4061	2.4019	2.4059	35438
2007-10-05 20:00:00	2.4058	2.40655	2.40428	2.406	3193
2007-10-07 20:00:00	2.40262	2.40406	2.4007	2.4023	12526
2007-10-08 00:00:00	2.4023	2.4057	2.40189	2.4054	21942
2007-10-08 04:00:00	2.4054	2.4086	2.4022	2.4069	98953
2007-10-08 08:00:00	2.4069	2.4132	2.4049	2.4112	170359
2007-10-08 12:00:00	2.4112	2.4152	2.41065	2.4124	181614
2007-10-08 16:00:00	2.4125	2.4152	2.4102	2.415	49961
2007-10-08 20:00:00	2.4151	2.4162	2.4136	2.4145	25582
2007-10-09 00:00:00	2.4145	2.4157	2.4124	2.4151	57188
2007-10-09 04:00:00	2.4151	2.4156	2.411	2.4137	126392
2007-10-09 08:00:00	2.4136	2.4143	2.4079	2.4091	193269
2007-10-09 12:00:00	2.4091	2.4104	2.4038	2.4068	207479
2007-10-09 16:00:00	2.4067	2.4114	2.4054	2.4108	95472
2007-10-09 20:00:00	2.4108	2.4127	2.40952	2.4119	36336
2007-10-10 00:00:00	2.4119	2.4144	2.411	2.4113	47943
2007-10-10 04:00:00	2.4115	2.4161	2.4105	2.4152	102345
2007-10-10 08:00:00	2.4152	2.4208	2.4133	2.4133	158016
2007-10-10 12:00:00	2.4133	2.4152	2.4084	2.4127	229838
2007-10-10 16:00:00	2.4128	2.4181	2.4119	2.4147	104621
2007-10-10 20:00:00	2.4147	2.41835	2.4129	2.4141	34113
2007-10-11 00:00:00	2.4141	2.4141	2.411	2.4129	46136
2007-10-11 04:00:00	2.4129	2.4141	2.4019	2.4024	156367
2007-10-11 08:00:00	2.4023	2.4057	2.3998	2.4015	214214
2007-10-11 12:00:00	2.4014	2.4055	2.399	2.4006	266386
2007-10-11 16:00:00	2.4006	2.4074	2.4006	2.4028	142989
2007-10-11 20:00:00	2.4028	2.4052	2.3997	2.40355	29609
2007-10-12 00:00:00	2.4036	2.4038	2.3998	2.4016	55617
2007-10-12 04:00:00	2.4022	2.4025	2.3921	2.3949	172927
2007-10-12 08:00:00	2.3949	2.4066	2.3935	2.4061	262040
2007-10-12 12:00:00	2.4061	2.4132	2.4044	2.4106	306021
2007-10-12 16:00:00	2.4106	2.41195	2.4076	2.4084	86230
2007-10-12 20:00:00	2.4084	2.4123	2.4079	2.4117	7175
2007-10-14 20:00:00	2.41146	2.4117	2.4077	2.41	27691
2007-10-15 00:00:00	2.41	2.4113	2.4074	2.4098	57041
2007-10-15 04:00:00	2.4098	2.4124	2.4056	2.4065	153683
2007-10-15 08:00:00	2.4065	2.4102	2.3998	2.4084	230670
2007-10-15 12:00:00	2.4084	2.4114	2.4067	2.4091	254437
2007-10-15 16:00:00	2.4092	2.4123	2.4082	2.4114	123703
2007-10-15 20:00:00	2.4114	2.4133	2.4096	2.4122	56881
2007-10-16 00:00:00	2.4122	2.4126	2.4098	2.4115	53363
2007-10-16 04:00:00	2.4115	2.4123	2.4042	2.4075	165496
2007-10-16 08:00:00	2.4073	2.4115	2.402	2.4043	293298
2007-10-16 12:00:00	2.4043	2.41	2.4039	2.40475	234693
2007-10-16 16:00:00	2.40475	2.40505	2.40075	2.4029	97315
2007-10-16 20:00:00	2.4029	2.4045	2.40095	2.40125	54167
2007-10-17 00:00:00	2.40125	2.40345	2.399	2.40235	73486
2007-10-17 04:00:00	2.40235	2.40425	2.39245	2.40305	122120
2007-10-17 08:00:00	2.40305	2.4069	2.40065	2.4053	166988
2007-10-17 12:00:00	2.4053	2.4116	2.4037	2.4087	162604
2007-10-17 16:00:00	2.4087	2.4098	2.40205	2.4082	104070
2007-10-17 20:00:00	2.4082	2.409	2.4036	2.4041	51404
2007-10-18 00:00:00	2.4041	2.4061	2.4008	2.40135	77411
2007-10-18 04:00:00	2.40115	2.4059	2.39605	2.39715	113479
2007-10-18 08:00:00	2.39715	2.401	2.39195	2.39325	159953
2007-10-18 12:00:00	2.39315	2.3957	2.38945	2.39265	190345
2007-10-18 16:00:00	2.39265	2.3958	2.39025	2.39155	89762
2007-10-18 20:00:00	2.39155	2.39305	2.38915	2.3923	51171
2007-10-19 00:00:00	2.3923	2.39505	2.38895	2.39205	78198
2007-10-19 04:00:00	2.3921	2.3938	2.38465	2.39235	113685
2007-10-19 08:00:00	2.39235	2.40055	2.39175	2.3977	111296
2007-10-19 12:00:00	2.3977	2.4019	2.396	2.40015	134291
