Time	Open	High	Low	Close	Volume
2007-08-14 00:00:00	118.28	118.52	117.36	117.53	3012375
2007-08-15 00:00:00	117.52	117.65	116.24	116.29	5724026
2007-08-16 00:00:00	116.29	116.74	111.99	113.7	4991947
2007-08-17 00:00:00	113.7	114.9	111.59	114.34	3725981
2007-08-19 00:00:00	114.16	114.43	113.66	114.23	117317
2007-08-20 00:00:00	114.23	115.5	114.15	114.69	4615207
2007-08-21 00:00:00	114.69	115.24	113.98	114.42	3741088
2007-08-22 00:00:00	114.42	115.95	114.25	115.83	3590537
2007-08-23 00:00:00	115.83	117.14	115.6	116.05	3644818
2007-08-24 00:00:00	116.05	116.45	115.52	116.42	3438110
2007-08-26 00:00:00	116.39	116.75	116.39	116.65	101800
2007-08-27 00:00:00	116.65	116.65	115.35	115.64	2552578
2007-08-28 00:00:00	115.63	115.76	113.855	113.97	3663214
2007-08-29 00:00:00	113.97	116.25	113.92	115.69	4047919
2007-08-30 00:00:00	115.69	116.075	115.2	116	3927314
2007-08-31 00:00:00	116	116.61	115.48	115.77	3035976
2007-09-02 00:00:00	115.84	115.92	115.75	115.8	38125
2007-09-03 00:00:00	115.8	116.11	115.66	115.76	1483784
2007-09-04 00:00:00	115.76	116.47	115.33	116.42	3413096
2007-09-05 00:00:00	116.42	116.44	114.81	114.95	4307200
2007-09-06 00:00:00	114.95	115.65	114.9	115.46	2894827
2007-09-07 00:00:00	115.46	115.47	113.12	113.36	3544360
2007-09-09 00:00:00	112.98	113.05	112.6	112.89	107018
2007-09-10 00:00:00	112.89	113.995	112.72	113.55	1999146
2007-09-11 00:00:00	113.55	114.38	113.39	114.12	2854726
2007-09-12 00:00:00	114.11	114.37	113.77	114.24	2773681
2007-09-13 00:00:00	114.24	115.49	114.115	114.8	2760931
2007-09-14 00:00:00	114.81	115.39	114.36	115.34	2205273
2007-09-16 00:00:00	115.22	115.29	115.1	115.25	52378
2007-09-17 00:00:00	115.25	115.38	114.66	115.04	1797763
2007-09-18 00:00:00	115.04	116.37	114.78	115.755	2023904
2007-09-19 00:00:00	115.745	116.32	115.655	115.955	2171658
2007-09-20 00:00:00	115.955	116.005	113.985	114.93	2122569
2007-09-21 00:00:00	114.93	115.85	114.62	115.47	1614556
2007-09-23 00:00:00	115.375	115.375	115.21	115.24	16704
2007-09-24 00:00:00	115.24	115.27	114.645	114.84	1364980
2007-09-25 00:00:00	114.84	114.87	114.025	114.61	1649849
2007-09-26 00:00:00	114.61	115.74	114.58	115.435	1276692
2007-09-27 00:00:00	115.44	115.89	115.115	115.53	1374540
2007-09-28 00:00:00	115.53	115.6	114.67	114.78	1493368
2007-09-30 00:00:00	114.73	114.96	114.71	114.87	82838
2007-10-01 00:00:00	114.86	116.06	114.765	115.76	1203636
2007-10-02 00:00:00	115.76	115.99	115.28	115.62	1292898
2007-10-03 00:00:00	115.62	116.775	115.555	116.675	1569920
2007-10-04 00:00:00	116.68	116.76	116.27	116.435	1576677
