Time	Open	High	Low	Close	Volume
2013-05-21 00:00:00	8434.5	8484	8423.8	8457.2	543
2013-05-22 00:00:00	8457.2	8559	8435	8470	1369
2013-05-23 00:00:00	8470	8475	8280	8396	1418
2013-05-24 00:00:00	8396	8404	8261	8338	893
2013-05-26 00:00:00	8338	8369	8338	8354	117
2013-05-27 00:00:00	8353	8392	8330	8386	1264
2013-05-28 00:00:00	8386	8528	8385	8454	1420
2013-05-29 00:00:00	8454	8463	8315	8356	1414
2013-05-30 00:00:00	8356	8420	8296	8397	1419
2013-05-31 00:00:00	8397	8409	8296	8304	1215
2013-06-02 00:00:00	8314	8330	8308	8322	120
2013-06-03 00:00:00	8322	8383	8283	8315	545
2013-06-04 00:00:00	8314	8386	8238	8262	1409
2013-06-05 00:00:00	8263	8294	8156	8174	1417
2013-06-06 00:00:00	8174	8235	8051	8147	1421
2013-06-07 00:00:00	8147	8282	8035	8239	1213
2013-06-09 00:00:00	8229	8240	8225	8239	120
2013-06-10 00:00:00	8239	8358	8237	8282	1402
2013-06-11 00:00:00	8282	8286	8141	8175	1412
2013-06-12 00:00:00	8176	8234	8089	8092	1127
2013-06-13 00:00:00	8092	8175	7967	8172	1422
2013-06-14 00:00:00	8172	8187	8078	8085	1208
2013-06-16 00:00:00	8080	8094	8073	8093	115
2013-06-17 00:00:00	8093	8261	8089	8192	1144
2013-06-18 00:00:00	8192	8250	8174	8243	1373
2013-06-19 00:00:00	8244	8285	8084	8124	1371
2013-06-20 00:00:00	8125	8127	7873	7901	1414
2013-06-21 00:00:00	7901	7984	7772	7825	1213
2013-06-23 00:00:00	7825	7832	7799	7827	120
2013-06-24 00:00:00	7826	7828	7654	7739	1412
2013-06-25 00:00:00	7739	7846	7679	7808	1416
2013-06-26 00:00:00	7809	7968	7795	7939	1407
2013-06-27 00:00:00	7939	8026	7919	7966	1408
2013-06-28 00:00:00	7966	8040	7904	7936	1214
2013-06-30 00:00:00	7936	7966	7926	7933	120
2013-07-01 00:00:00	7933	8025	7889	7947	1409
2013-07-02 00:00:00	7948	7993	7845	7878	1407
2013-07-03 00:00:00	7878	7885	7729	7846	1302
2013-07-04 00:00:00	7846	8017	7843	7987	1293
2013-07-05 00:00:00	7987	8032	7803	7867	1206
2013-07-07 00:00:00	7867	7878	7865	7875	120
2013-07-08 00:00:00	7875	8016	7843	7981	1417
2013-07-09 00:00:00	7981	8088	7975	8072	1413
