Time	Open	High	Low	Close	Volume
2013-05-21 12:00:00	8434.5	8471.3	8423.8	8465.3	95
2013-05-21 16:00:00	8465.3	8484	8461.8	8462.8	240
2013-05-21 20:00:00	8463.3	8466.3	8453.2	8457.2	208
2013-05-22 00:00:00	8457.2	8459.2	8452.2	8454.7	238
2013-05-22 04:00:00	8454.7	8473.5	8450.5	8456.8	239
2013-05-22 08:00:00	8457	8472.3	8435	8463.8	240
2013-05-22 12:00:00	8464.3	8559	8459.5	8535	240
2013-05-22 16:00:00	8535	8541.5	8435.8	8458.8	240
2013-05-22 20:00:00	8458.5	8474	8452.3	8470	172
2013-05-23 00:00:00	8470	8475	8436	8437	240
2013-05-23 04:00:00	8437	8437	8326	8342	239
2013-05-23 08:00:00	8341	8350	8280	8310	240
2013-05-23 12:00:00	8310	8367	8290	8361	240
2013-05-23 16:00:00	8362	8386	8360	8381	240
2013-05-23 20:00:00	8381	8396	8373	8396	219
2013-05-24 00:00:00	8396	8404	8387	8394	225
2013-05-24 08:00:00	8365	8374	8263	8303	173
2013-05-24 12:00:00	8303	8341	8261	8311	240
2013-05-24 16:00:00	8311	8331	8302	8331	240
2013-05-24 20:00:00	8331	8339	8327	8338	15
2013-05-26 20:00:00	8338	8369	8338	8354	117
2013-05-27 00:00:00	8353	8357	8331	8349	240
2013-05-27 04:00:00	8349	8377	8330	8362	240
2013-05-27 08:00:00	8362	8373	8338	8358	226
2013-05-27 12:00:00	8359	8387	8358	8383	220
2013-05-27 16:00:00	8383	8392	8379	8387	222
2013-05-27 20:00:00	8387	8387	8378	8386	116
2013-05-28 00:00:00	8386	8419	8385	8409	240
2013-05-28 04:00:00	8409	8492	8394	8481	238
2013-05-28 08:00:00	8481	8489	8465	8472	240
2013-05-28 12:00:00	8472	8528	8463	8464	240
2013-05-28 16:00:00	8464	8483	8449	8457	240
2013-05-28 20:00:00	8457	8460	8439	8454	222
2013-05-29 00:00:00	8454	8456	8440	8450	240
2013-05-29 04:00:00	8450	8463	8384	8402	240
2013-05-29 08:00:00	8401	8424	8321	8342	240
2013-05-29 12:00:00	8342	8373	8315	8352	240
2013-05-29 16:00:00	8352	8364	8327	8357	240
2013-05-29 20:00:00	8358	8361	8349	8356	214
2013-05-30 00:00:00	8356	8367	8351	8355	240
2013-05-30 04:00:00	8355	8359	8296	8338	240
2013-05-30 08:00:00	8338	8414	8316	8398	240
2013-05-30 12:00:00	8398	8416	8361	8408	240
2013-05-30 16:00:00	8408	8420	8391	8391	240
2013-05-30 20:00:00	8391	8398	8387	8397	219
2013-05-31 00:00:00	8397	8409	8396	8400	240
2013-05-31 04:00:00	8400	8405	8301	8318	240
2013-05-31 08:00:00	8318	8357	8296	8353	240
2013-05-31 12:00:00	8353	8402	8339	8355	240
2013-05-31 16:00:00	8355	8356	8302	8302	240
2013-05-31 20:00:00	8302	8307	8297	8304	15
2013-06-02 20:00:00	8314	8330	8308	8322	120
2013-06-03 00:00:00	8322	8322	8308	8318	44
2013-06-03 08:00:00	8383	8383	8383	8383	1
2013-06-03 12:00:00	8301	8306	8283	8303	38
2013-06-03 16:00:00	8303	8335	8293	8334	240
2013-06-03 20:00:00	8334	8334	8299	8315	222
2013-06-04 00:00:00	8314	8318	8305	8315	240
2013-06-04 04:00:00	8315	8386	8313	8360	237
2013-06-04 08:00:00	8360	8364	8294	8308	240
2013-06-04 12:00:00	8308	8343	8274	8301	240
2013-06-04 16:00:00	8301	8302	8238	8264	240
2013-06-04 20:00:00	8265	8276	8262	8262	212
2013-06-05 00:00:00	8263	8269	8256	8258	240
2013-06-05 04:00:00	8258	8287	8226	8262	239
2013-06-05 08:00:00	8262	8294	8180	8224	240
2013-06-05 12:00:00	8224	8255	8191	8193	240
2013-06-05 16:00:00	8193	8209	8160	8160	240
2013-06-05 20:00:00	8160	8175	8156	8174	218
2013-06-06 00:00:00	8174	8185	8173	8181	240
2013-06-06 04:00:00	8182	8215	8175	8197	238
2013-06-06 08:00:00	8198	8229	8195	8223	240
2013-06-06 12:00:00	8223	8235	8086	8092	240
2013-06-06 16:00:00	8091	8149	8051	8149	240
2013-06-06 20:00:00	8149	8154	8143	8147	223
2013-06-07 00:00:00	8147	8157	8137	8139	240
2013-06-07 04:00:00	8139	8151	8091	8113	238
2013-06-07 08:00:00	8113	8120	8035	8079	240
2013-06-07 12:00:00	8079	8282	8071	8250	240
2013-06-07 16:00:00	8249	8262	8232	8256	240
2013-06-07 20:00:00	8256	8258	8236	8239	15
2013-06-09 20:00:00	8229	8240	8225	8239	120
2013-06-10 00:00:00	8239	8257	8237	8253	240
2013-06-10 04:00:00	8253	8301	8237	8294	240
2013-06-10 08:00:00	8294	8343	8292	8336	240
2013-06-10 12:00:00	8336	8358	8270	8309	240
2013-06-10 16:00:00	8309	8314	8286	8289	240
2013-06-10 20:00:00	8286	8287	8282	8282	202
2013-06-11 00:00:00	8282	8286	8268	8271	240
2013-06-11 04:00:00	8271	8281	8219	8249	236
2013-06-11 08:00:00	8249	8260	8145	8177	240
2013-06-11 12:00:00	8177	8239	8141	8208	240
2013-06-11 16:00:00	8208	8215	8156	8166	240
2013-06-11 20:00:00	8166	8176	8163	8175	216
2013-06-12 00:00:00	8176	8181	8171	8179	240
2013-06-12 04:00:00	8178	8219	8174	8214	183
2013-06-12 08:00:00	8231	8234	8225	8227	14
2013-06-12 12:00:00	8227	8229	8115	8124	233
2013-06-12 16:00:00	8124	8141	8102	8109	240
2013-06-12 20:00:00	8109	8109	8089	8092	217
2013-06-13 00:00:00	8092	8094	8039	8053	240
2013-06-13 04:00:00	8054	8057	7974	7996	239
2013-06-13 08:00:00	7996	8040	7967	8034	240
2013-06-13 12:00:00	8034	8109	8019	8100	240
2013-06-13 16:00:00	8101	8170	8091	8164	240
2013-06-13 20:00:00	8164	8175	8157	8172	223
2013-06-14 00:00:00	8172	8173	8145	8147	237
2013-06-14 04:00:00	8147	8177	8125	8167	236
2013-06-14 08:00:00	8167	8176	8111	8136	240
2013-06-14 12:00:00	8136	8187	8098	8113	240
2013-06-14 16:00:00	8113	8117	8078	8092	240
2013-06-14 20:00:00	8092	8093	8084	8085	15
2013-06-16 20:00:00	8080	8094	8073	8093	115
2013-06-17 00:00:00	8093	8114	8089	8114	219
2013-06-17 04:00:00	8114	8226	8113	8224	201
2013-06-17 08:00:00	8225	8251	8218	8248	152
2013-06-17 12:00:00	8233	8261	8208	8214	140
2013-06-17 16:00:00	8214	8223	8169	8185	240
2013-06-17 20:00:00	8186	8197	8185	8192	192
2013-06-18 00:00:00	8192	8197	8186	8193	232
2013-06-18 04:00:00	8193	8218	8175	8208	226
2013-06-18 08:00:00	8208	8233	8174	8207	240
2013-06-18 12:00:00	8207	8242	8200	8226	240
2013-06-18 16:00:00	8226	8242	8225	8236	240
2013-06-18 20:00:00	8236	8250	8234	8243	195
2013-06-19 00:00:00	8244	8246	8226	8227	237
2013-06-19 04:00:00	8227	8262	8157	8181	237
2013-06-19 08:00:00	8180	8285	8164	8221	240
2013-06-19 12:00:00	8221	8244	8188	8194	240
2013-06-19 16:00:00	8194	8237	8133	8133	240
2013-06-19 20:00:00	8132	8153	8084	8124	177
2013-06-20 00:00:00	8125	8127	8090	8101	237
2013-06-20 04:00:00	8101	8104	8017	8039	235
2013-06-20 08:00:00	8039	8057	7964	7999	240
2013-06-20 12:00:00	7999	8010	7913	7949	240
2013-06-20 16:00:00	7949	7959	7873	7895	240
2013-06-20 20:00:00	7894	7908	7894	7901	222
2013-06-21 00:00:00	7901	7927	7899	7923	240
2013-06-21 04:00:00	7924	7971	7918	7942	238
2013-06-21 08:00:00	7942	7984	7917	7944	240
2013-06-21 12:00:00	7944	7946	7772	7783	240
2013-06-21 16:00:00	7783	7853	7780	7830	240
2013-06-21 20:00:00	7830	7832	7821	7825	15
2013-06-23 20:00:00	7825	7832	7799	7827	120
2013-06-24 00:00:00	7826	7828	7778	7789	240
2013-06-24 04:00:00	7789	7825	7731	7798	240
2013-06-24 08:00:00	7798	7805	7654	7711	240
2013-06-24 12:00:00	7711	7739	7680	7701	240
2013-06-24 16:00:00	7701	7770	7691	7726	240
2013-06-24 20:00:00	7726	7739	7719	7739	212
2013-06-25 00:00:00	7739	7753	7696	7696	240
2013-06-25 04:00:00	7696	7786	7679	7763	239
2013-06-25 08:00:00	7763	7831	7754	7810	240
2013-06-25 12:00:00	7810	7844	7764	7808	240
2013-06-25 16:00:00	7808	7846	7801	7830	240
2013-06-25 20:00:00	7830	7833	7808	7808	217
2013-06-26 00:00:00	7809	7820	7795	7805	240
2013-06-26 04:00:00	7806	7887	7800	7887	235
2013-06-26 08:00:00	7886	7949	7882	7943	237
2013-06-26 12:00:00	7943	7960	7912	7924	240
2013-06-26 16:00:00	7925	7968	7923	7956	240
2013-06-26 20:00:00	7952	7953	7939	7939	215
