Time	Open	High	Low	Close	Volume
2013-05-23 00:00:00	15343	15353	15155	15328	1374
2013-05-24 00:00:00	15328	15345	15311	15322	225
2013-05-26 00:00:00	15313	15359	15313	15331	117
2013-05-27 00:00:00	15331	15347	15281	15334	1005
2013-05-28 00:00:00	15334	15522	15332	15391	1372
2013-05-29 00:00:00	15391	15403	15226	15293	1370
2013-05-30 00:00:00	15293	15400	15247	15330	1371
2013-05-31 00:00:00	15330	15392	15111	15112	1244
2013-06-02 00:00:00	15131	15152	15108	15136	120
2013-06-03 00:00:00	15136	15254	15118	15212	495
2013-06-04 00:00:00	15211	15307	15097	15178	1374
2013-06-05 00:00:00	15179	15197	14944	14979	1377
2013-06-06 00:00:00	14979	15054	14843	15031	1375
2013-06-07 00:00:00	15032	15258	15002	15227	1245
2013-06-09 00:00:00	15227	15227	15185	15213	120
2013-06-10 00:00:00	15213	15301	15210	15229	1366
2013-06-11 00:00:00	15229	15256	15084	15150	1371
2013-06-12 00:00:00	15151	15249	14978	14986	1084
2013-06-13 00:00:00	14986	15205	14874	15198	1376
2013-06-14 00:00:00	15199	15207	15043	15056	1234
2013-06-16 00:00:00	15056	15087	15050	15086	115
2013-06-17 00:00:00	15086	15258	15077	15190	1123
2013-06-18 00:00:00	15190	15342	15174	15313	1329
2013-06-19 00:00:00	15314	15346	15094	15104	1356
2013-06-20 00:00:00	15105	15107	14732	14780	1370
2013-06-21 00:00:00	14780	14873	14684	14779	1245
2013-06-23 00:00:00	14786	14803	14737	14791	120
2013-06-24 00:00:00	14792	14794	14548	14695	1375
2013-06-25 00:00:00	14695	14813	14603	14727	1375
2013-06-26 00:00:00	14728	14939	14695	14892	1369
2013-06-27 00:00:00	14892	15076	14892	15004	1367
2013-06-28 00:00:00	15005	15074	14878	14892	1245
2013-06-30 00:00:00	14892	14926	14888	14901	120
2013-07-01 00:00:00	14901	15084	14863	14963	1370
2013-07-02 00:00:00	14964	15050	14865	14931	1369
2013-07-03 00:00:00	14931	15028	14819	15000	1145
2013-07-04 00:00:00	15000	15136	14990	15100	1026
2013-07-05 00:00:00	15100	15181	14968	15155	1244
2013-07-07 00:00:00	15143	15167	15142	15162	120
2013-07-08 00:00:00	15162	15265	15127	15240	1370
2013-07-09 00:00:00	15240	15322	15227	15295	1373
2013-07-10 00:00:00	15296	15423	15258	15413	1374
2013-07-11 00:00:00	15413	15485	15395	15438	1370
2013-07-12 00:00:00	15437	15499	15413	15434	1241
2013-07-14 00:00:00	15429	15445	15427	15445	113
2013-07-15 00:00:00	15445	15509	15437	15477	1359
2013-07-16 00:00:00	15477	15497	15416	15450	1364
2013-07-17 00:00:00	15450	15516	15403	15471	1369
2013-07-18 00:00:00	15471	15589	15455	15522	1370
2013-07-19 00:00:00	15522	15565	15483	15560	1245
2013-07-21 00:00:00	15571	15584	15567	15574	119
2013-07-22 00:00:00	15574	15595	15515	15552	1364
2013-07-23 00:00:00	15552	15603	15544	15574	1372
2013-07-24 00:00:00	15574	15619	15497	15548	1369
2013-07-25 00:00:00	15548	15563	15457	15553	1373
2013-07-26 00:00:00	15553	15577	15402	15557	1242
2013-07-28 00:00:00	15557	15561	15547	15550	117
2013-07-29 00:00:00	15550	15557	15480	15541	1369
2013-07-30 00:00:00	15540	15596	15480	15540	1363
2013-07-31 00:00:00	15540	15639	15487	15531	1369
2013-08-01 00:00:00	15531	15651	15529	15617	1372
2013-08-02 00:00:00	15617	15653	15551	15643	1243
2013-08-04 00:00:00	15643	15643	15627	15638	115
2013-08-05 00:00:00	15637	15651	15580	15592	1364
2013-08-06 00:00:00	15592	15619	15471	15495	1370
2013-08-07 00:00:00	15495	15496	15420	15492	1376
2013-08-08 00:00:00	15493	15567	15417	15479	1368
2013-08-09 00:00:00	15478	15510	15429	15449	882
2013-08-12 00:00:00	15361	15443	15327	15420	834
2013-08-13 00:00:00	15420	15509	15342	15444	1369
