Time	Open	High	Low	Close	Volume
2013-05-23 00:00:00	15343	15353	15289	15292	240
2013-05-23 04:00:00	15292	15303	15155	15207	240
2013-05-23 08:00:00	15206	15248	15164	15206	240
2013-05-23 12:00:00	15206	15308	15178	15300	240
2013-05-23 16:00:00	15300	15347	15257	15298	240
2013-05-23 20:00:00	15297	15329	15286	15328	174
2013-05-24 00:00:00	15328	15345	15311	15322	225
2013-05-26 20:00:00	15313	15359	15313	15331	117
2013-05-27 00:00:00	15331	15342	15290	15332	240
2013-05-27 04:00:00	15331	15340	15312	15325	240
2013-05-27 08:00:00	15325	15332	15281	15302	224
2013-05-27 12:00:00	15303	15347	15302	15336	189
2013-05-27 20:00:00	15336	15339	15325	15334	112
2013-05-28 00:00:00	15334	15377	15332	15368	240
2013-05-28 04:00:00	15368	15427	15360	15423	240
2013-05-28 08:00:00	15423	15435	15406	15422	240
2013-05-28 12:00:00	15422	15522	15421	15447	240
2013-05-28 16:00:00	15447	15470	15371	15408	240
2013-05-28 20:00:00	15408	15414	15368	15391	172
2013-05-29 00:00:00	15391	15395	15362	15381	240
2013-05-29 04:00:00	15381	15403	15319	15332	240
2013-05-29 08:00:00	15332	15353	15281	15293	240
2013-05-29 12:00:00	15293	15347	15226	15286	240
2013-05-29 16:00:00	15286	15346	15240	15304	240
2013-05-29 20:00:00	15304	15310	15280	15293	170
2013-05-30 00:00:00	15293	15324	15290	15299	240
2013-05-30 04:00:00	15299	15308	15247	15288	240
2013-05-30 08:00:00	15288	15360	15260	15335	240
2013-05-30 12:00:00	15335	15390	15278	15377	240
2013-05-30 16:00:00	15377	15400	15327	15327	240
2013-05-30 20:00:00	15327	15334	15311	15330	171
2013-05-31 00:00:00	15330	15354	15327	15339	240
2013-05-31 04:00:00	15339	15350	15251	15255	240
2013-05-31 08:00:00	15255	15268	15213	15253	240
2013-05-31 12:00:00	15253	15392	15239	15350	239
2013-05-31 16:00:00	15350	15350	15128	15128	240
2013-05-31 20:00:00	15127	15136	15111	15112	45
2013-06-02 20:00:00	15131	15152	15108	15136	120
2013-06-03 00:00:00	15136	15140	15118	15137	44
2013-06-03 12:00:00	15168	15178	15129	15169	38
2013-06-03 16:00:00	15169	15254	15144	15250	240
2013-06-03 20:00:00	15250	15250	15184	15212	173
2013-06-04 00:00:00	15211	15217	15194	15212	240
2013-06-04 04:00:00	15212	15246	15207	15218	240
2013-06-04 08:00:00	15218	15232	15206	15218	240
2013-06-04 12:00:00	15218	15307	15215	15258	240
2013-06-04 16:00:00	15258	15263	15097	15178	240
2013-06-04 20:00:00	15176	15198	15171	15178	174
2013-06-05 00:00:00	15179	15197	15173	15180	240
2013-06-05 04:00:00	15180	15188	15140	15169	240
2013-06-05 08:00:00	15169	15187	15118	15129	240
2013-06-05 12:00:00	15129	15159	15021	15028	240
2013-06-05 16:00:00	15028	15036	14944	14959	240
2013-06-05 20:00:00	14959	14982	14947	14979	177
2013-06-06 00:00:00	14979	15001	14978	14994	240
2013-06-06 04:00:00	14995	15008	14983	14999	240
2013-06-06 08:00:00	15000	15016	14985	15011	240
2013-06-06 12:00:00	15011	15024	14908	14914	240
2013-06-06 16:00:00	14913	15034	14843	15034	240
2013-06-06 20:00:00	15033	15054	15030	15031	175
2013-06-07 00:00:00	15032	15051	15018	15022	240
2013-06-07 04:00:00	15022	15045	15002	15017	240
2013-06-07 08:00:00	15017	15041	15005	15029	240
2013-06-07 12:00:00	15029	15250	15015	15214	240
2013-06-07 16:00:00	15213	15258	15166	15248	240
2013-06-07 20:00:00	15249	15251	15214	15227	45
2013-06-09 20:00:00	15227	15227	15185	15213	120
2013-06-10 00:00:00	15213	15240	15210	15233	240
2013-06-10 04:00:00	15233	15265	15228	15255	240
2013-06-10 08:00:00	15255	15275	15250	15259	240
2013-06-10 12:00:00	15259	15301	15210	15264	239
2013-06-10 16:00:00	15264	15282	15220	15237	240
2013-06-10 20:00:00	15237	15241	15228	15229	167
2013-06-11 00:00:00	15229	15235	15200	15207	240
2013-06-11 04:00:00	15207	15227	15188	15200	237
2013-06-11 08:00:00	15200	15205	15108	15118	240
2013-06-11 12:00:00	15118	15256	15084	15225	240
2013-06-11 16:00:00	15225	15246	15120	15125	240
2013-06-11 20:00:00	15125	15151	15124	15150	174
2013-06-12 00:00:00	15151	15165	15144	15160	240
2013-06-12 04:00:00	15159	15195	15156	15193	186
2013-06-12 08:00:00	15220	15223	15218	15220	13
2013-06-12 12:00:00	15220	15249	15039	15057	233
2013-06-12 16:00:00	15058	15092	14980	14999	240
2013-06-12 20:00:00	14999	15001	14978	14986	172
2013-06-13 00:00:00	14986	14991	14907	14921	240
2013-06-13 04:00:00	14922	14935	14874	14929	240
2013-06-13 08:00:00	14929	14955	14884	14948	240
2013-06-13 12:00:00	14948	15058	14928	15051	240
2013-06-13 16:00:00	15051	15205	15039	15181	239
2013-06-13 20:00:00	15180	15205	15175	15198	177
2013-06-14 00:00:00	15199	15201	15150	15154	237
2013-06-14 04:00:00	15154	15197	15148	15196	236
2013-06-14 08:00:00	15197	15207	15151	15173	240
2013-06-14 12:00:00	15174	15207	15076	15105	240
2013-06-14 16:00:00	15105	15116	15043	15070	240
2013-06-14 20:00:00	15070	15073	15054	15056	41
2013-06-16 20:00:00	15056	15087	15050	15086	115
2013-06-17 00:00:00	15086	15116	15077	15114	219
2013-06-17 04:00:00	15114	15180	15107	15179	210
2013-06-17 08:00:00	15179	15197	15162	15181	160
2013-06-17 12:00:00	15166	15258	15154	15238	141
2013-06-17 16:00:00	15238	15255	15110	15178	240
2013-06-17 20:00:00	15178	15200	15176	15190	153
2013-06-18 00:00:00	15190	15199	15174	15187	232
2013-06-18 04:00:00	15188	15229	15183	15223	231
2013-06-18 08:00:00	15223	15233	15191	15200	240
