Time	Open	High	Low	Close	Volume
2013-05-23 00:00:00	6712	6744	6655	6715	999
2013-05-24 00:00:00	6715	6720	6638	6685	1184
2013-05-27 00:00:00	6685	6694	6666	6690	1261
2013-05-28 00:00:00	6690	6791	6690	6737	1337
2013-05-29 00:00:00	6735	6741	6621	6641	1300
2013-05-30 00:00:00	6641	6671	6602	6650	1352
2013-05-31 00:00:00	6650	6659	6535	6540	1121
2013-06-03 00:00:00	6548	6572	6522	6541	544
2013-06-04 00:00:00	6540	6577	6510	6526	1409
2013-06-05 00:00:00	6526	6530	6392	6405	1410
2013-06-06 00:00:00	6403	6436	6284	6347	1355
2013-06-07 00:00:00	6347	6423	6312	6401	1115
2013-06-10 00:00:00	6392	6422	6378	6385	1365
2013-06-11 00:00:00	6385	6389	6279	6296	1394
2013-06-12 00:00:00	6296	6364	6252	6262	1008
2013-06-13 00:00:00	6262	6347	6198	6345	1354
2013-06-14 00:00:00	6346	6347	6272	6281	1183
2013-06-17 00:00:00	6292	6366	6288	6322	1033
2013-06-18 00:00:00	6322	6398	6309	6369	1319
2013-06-19 00:00:00	6369	6387	6284	6305	1362
2013-06-20 00:00:00	6305	6306	6115	6124	1391
2013-06-21 00:00:00	6124	6242	6098	6128	1154
2013-06-24 00:00:00	6131	6135	6021	6058	1353
2013-06-25 00:00:00	6058	6133	6002	6105	1384
2013-06-26 00:00:00	6106	6190	6085	6175	1351
2013-06-27 00:00:00	6175	6273	6169	6223	1327
2013-06-28 00:00:00	6223	6269	6203	6210	1110
2013-07-01 00:00:00	6211	6318	6201	6284	1345
2013-07-02 00:00:00	6284	6314	6257	6279	1273
2013-07-03 00:00:00	6279	6282	6180	6238	1214
2013-07-04 00:00:00	6238	6433	6234	6414	1109
2013-07-05 00:00:00	6415	6500	6363	6435	1064
2013-07-08 00:00:00	6439	6476	6410	6464	1312
2013-07-09 00:00:00	6464	6532	6454	6526	1341
2013-07-10 00:00:00	6526	6566	6471	6565	1306
2013-07-11 00:00:00	6565	6649	6524	6554	1312
2013-07-12 00:00:00	6556	6584	6539	6547	1102
2013-07-15 00:00:00	6552	6607	6545	6588	1263
2013-07-16 00:00:00	6588	6608	6548	6560	1269
