Company,Symbol,Weight,      Price,Chg,% Chg,S&P 500 Holdings
Apple Inc,AAPL,6.89922,   178.45,0.48,-0.27%,
Microsoft Corp,MSFT,6.58129,   329.39,0.33,-0.10%,
Amazon.com Inc,AMZN,3.419296,   140.04,0.06,-0.04%,
Nvidia Corp,NVDA,2.908668,   439.50,-0.17,(-0.04%),
Alphabet Inc Cl A,GOOGL,2.186723,   138.28,0.07,-0.05%,
Tesla Inc,TSLA,2.032479,   266.26,0.98,-0.37%,
Alphabet Inc Cl C,GOOG,1.872305,   139.28,0.32,-0.23%,
Berkshire Hathaway Inc Cl B,BRK.B,1.799554,   371.26,0.83,-0.22%,
Meta Platforms Inc Class A,META,1.790443,   302.67,0.12,-0.04%,
Exxon Mobil Corp,XOM,1.25317,   118.02,0.38,-0.32%,
Eli Lilly & Co,LLY,1.231342,   571.21,-0.08,(-0.01%),
Unitedhealth Group Inc,UNH,1.209338,   486.10,0.04,-0.01%,
Jpmorgan Chase & Co,JPM,1.16004,   149.32,0.2,-0.13%,
Johnson & Johnson W/d,JNJ,1.042869,   162.08,-0.39,(-0.24%),
Visa Inc Class a Shares,V,1.039043,   245.21,0.55,-0.23%,
Procter & Gamble Co,PG,0.970446,   154.13,0.08,-0.05%,
Broadcom Inc,AVGO,0.942815,   850.50,0.5,-0.06%,
Mastercard Inc A,MA,0.924674,   417.19,0.06,-0.01%,
Home Depot Inc,HD,0.86678,   317.12,-0.15,(-0.05%),
Chevron Corp,CVX,0.792436,   168.13,0.91,-0.54%,
Merck & Co. Inc.,MRK,0.731864,   107.75,-0.08,(-0.07%),
Abbvie Inc,ABBV,0.720235,   153.83,-0.11,(-0.07%),
Pepsico Inc,PEP,0.664082,   179.64,0.26,-0.14%,
Costco Wholesale Corp,COST,0.661356,   562.33,-0.39,(-0.07%),
Adobe Inc,ADBE,0.646655,   532.18,-0.24,(-0.05%),
Walmart Inc,WMT,0.630307,   163.49,0.07,-0.04%,
Cisco Systems Inc,CSCO,0.612583,   56.13,0.02,-0.03%,
Coca Cola Co,KO,0.604887,   58.29,-0.02,(-0.03%),
Salesforce Inc,CRM,0.560713,   215.08,0.08,-0.04%,
Mcdonald S Corp,MCD,0.543901,   278.29,0.57,-0.21%,
Bank of America Corp,BAC,0.534831,   28.78,0.02,-0.05%,
Thermo Fisher Scientific Inc,TMO,0.533717,   509.10,1.37,-0.27%,
Accenture Plc Cl A,ACN,0.528827,   320.39,4.51,-1.43%,
Pfizer Inc,PFE,0.515991,   33.76,0.12,-0.34%,
Linde Plc,LIN,0.507834,   389.90,2.37,-0.61%,
Comcast Corp Class A,CMCSA,0.500561,   45.33,-0.31,(-0.67%),
Oracle Corp,ORCL,0.481032,   112.29,0.08,-0.07%,
Abbott Laboratories,ABT,0.473604,   101.18,0.18,-0.18%,
Netflix Inc,NFLX,0.471848,   394.92,0.52,-0.13%,
Danaher Corp,DHR,0.44994,   254.02,0.25,-0.10%,
Advanced Micro Devices,AMD,0.439913,   102.19,-0.18,(-0.18%),
Intel Corp,INTC,0.42527,   37.94,-0.06,(-0.14%),
Wells Fargo & Co,WFC,0.421534,   43.24,-0.2,(-0.45%),
Walt Disney Co,DIS,0.420281,   85.10,0.08,-0.09%,
Intuit Inc,INTU,0.404228,   546.89,11.88,-2.22%,
Philip Morris International,PM,0.399196,   96.92,-0.05,(-0.05%),
