Local time,Ask,Bid,AskVolume,BidVolume
04.09.2023 01:00:05.962 GMT+0300,4516.181,4515.664000000001,0.0006,0.0006
04.09.2023 01:00:07.440 GMT+0300,4516.298,4515.847000000001,0.0006,0.0006
04.09.2023 01:00:08.306 GMT+0300,4516.446,4515.932,0.0006,0.0006
04.09.2023 01:00:08.483 GMT+0300,4515.931,4515.423,0.0006,0.0006
04.09.2023 01:00:08.626 GMT+0300,4516.196,4515.67,0.0006,0.0006
04.09.2023 01:00:09.309 GMT+0300,4515.928,4515.417,0.0006,0.0006
04.09.2023 01:00:09.573 GMT+0300,4516.193,4515.682,0.0006,0.0006
04.09.2023 01:00:09.851 GMT+0300,4516.446,4515.923,0.0006,0.0006
04.09.2023 01:00:10.064 GMT+0300,4516.316,4515.847000000001,0.0006,0.0006
04.09.2023 01:00:11.552 GMT+0300,4516.1990000000005,4515.673,0.0006,0.0006
04.09.2023 01:00:12.272 GMT+0300,4516.298,4515.784000000001,0.0006,0.0006
04.09.2023 01:00:12.708 GMT+0300,4516.178,4515.673,0.0006,0.0006
04.09.2023 01:00:12.874 GMT+0300,4516.313,4515.784000000001,0.0006,0.0006
04.09.2023 01:00:12.977 GMT+0300,4516.1900000000005,4515.6759999999995,0.0006,0.0006
04.09.2023 01:00:13.429 GMT+0300,4516.4400000000005,4515.9259999999995,0.0006,0.0006
04.09.2023 01:00:13.807 GMT+0300,4516.313,4515.787,0.0006,0.0006
04.09.2023 01:00:15.211 GMT+0300,4516.431,4515.9259999999995,0.0006,0.0006
04.09.2023 01:00:21.340 GMT+0300,4516.678,4516.227,0.0006,0.0006
04.09.2023 01:00:22.318 GMT+0300,4516.943,4516.4259999999995,0.0006,0.0006
04.09.2023 01:00:26.821 GMT+0300,4517.196,4516.667,0.0006,0.0006
04.09.2023 01:00:31.559 GMT+0300,4517.253,4516.781,0.0006,0.0006
04.09.2023 01:00:31.951 GMT+0300,4517.4490000000005,4516.917,0.0006,0.0006
04.09.2023 01:00:32.096 GMT+0300,4517.319,4516.799,0.0006,0.0006
04.09.2023 01:00:32.483 GMT+0300,4516.81,4516.29,0.0006,0.0006
04.09.2023 01:00:33.086 GMT+0300,4516.633,4516.164000000001,0.0006,0.0006
04.09.2023 01:00:33.377 GMT+0300,4516.554,4516.043,0.0006,0.0006
04.09.2023 01:00:33.793 GMT+0300,4516.6990000000005,4516.179,0.0006,0.0006
04.09.2023 01:00:34.076 GMT+0300,4516.819,4516.302000000001,0.0006,0.0006
04.09.2023 01:00:34.420 GMT+0300,4516.696,4516.167,0.0006,0.0006
04.09.2023 01:00:34.994 GMT+0300,4516.81,4516.299,0.0006,0.0006
04.09.2023 01:00:35.117 GMT+0300,4516.684,4516.164000000001,0.0006,0.0006
04.09.2023 01:00:43.585 GMT+0300,4516.4490000000005,4515.914000000001,0.0006,0.0006
04.09.2023 01:00:53.845 GMT+0300,4516.6900000000005,4516.1759999999995,0.0006,0.0006
04.09.2023 01:00:59.984 GMT+0300,4516.503,4516.052000000001,0.0006,0.0006
04.09.2023 01:01:00.106 GMT+0300,4516.446,4515.92,0.0006,0.0006
04.09.2023 01:01:00.956 GMT+0300,4516.548,4516.046,0.0006,0.0006
04.09.2023 01:01:01.266 GMT+0300,4516.678,4516.179,0.0006,0.0006
04.09.2023 01:01:07.541 GMT+0300,4516.443,4515.914000000001,0.0006,0.0006
04.09.2023 01:01:10.981 GMT+0300,4516.681,4516.167,0.0006,0.0006
04.09.2023 01:01:11.503 GMT+0300,4516.4490000000005,4515.917,0.0006,0.0006
04.09.2023 01:01:13.997 GMT+0300,4516.693,4516.1759999999995,0.0006,0.0006
04.09.2023 01:01:14.207 GMT+0300,4516.4400000000005,4515.917,0.0006,0.0006
04.09.2023 01:01:14.311 GMT+0300,4516.503,4516.037,0.0006,0.0006
04.09.2023 01:01:14.428 GMT+0300,4516.678,4516.227,0.0006,0.0006
04.09.2023 01:01:17.059 GMT+0300,4516.446,4515.914000000001,0.0006,0.0006
04.09.2023 01:01:21.106 GMT+0300,4516.184,4515.682,0.0006,0.0006
04.09.2023 01:01:28.569 GMT+0300,4516.057,4515.534000000001,0.0006,0.0006
04.09.2023 01:01:29.853 GMT+0300,4515.9490000000005,4515.411,0.0006,0.0006
04.09.2023 01:01:39.550 GMT+0300,4515.681,4515.179,0.0006,0.0006
04.09.2023 01:01:43.914 GMT+0300,4515.5509999999995,4515.037,0.0006,0.0006
04.09.2023 01:01:44.080 GMT+0300,4515.443,4514.932,0.0006,0.0006
04.09.2023 01:01:51.806 GMT+0300,4514.678,4514.17,0.0006,0.0006
04.09.2023 01:01:52.944 GMT+0300,4514.804,4514.281,0.0006,0.0006
